com.samsung.health.floors_climbed,6201005,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-16 22:18:41.000,,2021-11-16 22:24:38.325,2021-11-16 22:24:36.902,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-16 22:19:45.000,2226dbee-c6a5-4c48-a81d-79ec74466c0f,
2021-11-17 04:00:11.000,,2021-11-17 04:01:44.804,2021-11-17 04:01:44.157,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-17 04:00:32.000,9602a15c-93e7-48e3-8bf3-df77fe2d828c,
2021-11-19 03:12:06.000,,2021-11-19 03:16:07.273,2021-11-19 03:16:06.645,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-19 03:12:36.000,a6d5e3b2-65ff-42d8-bc63-008a3084573c,
2021-11-19 03:28:47.000,,2021-11-19 03:34:51.555,2021-11-19 03:34:50.845,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-19 03:29:21.000,6a53ae74-e696-4663-ae85-1b89c59bf4f4,
2021-11-21 22:15:20.000,,2021-11-21 22:25:39.764,2021-11-21 22:25:37.972,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-21 22:16:35.000,60ae6d33-65b6-49fa-b46f-0dc3896ce63d,
2021-11-22 10:27:41.000,,2021-11-22 10:30:48.570,2021-11-22 10:30:47.743,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-22 10:28:11.000,3a02c460-2a73-4ff7-b0e8-5db70310507f,
2021-11-23 03:48:00.000,,2021-11-23 03:56:27.520,2021-11-23 03:56:27.520,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-23 03:48:28.000,f098e3bf-e803-44f3-9698-8b00495009d4,
2021-11-24 03:20:56.000,,2021-11-24 03:29:31.407,2021-11-24 03:29:31.380,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-24 03:21:06.000,acac95fa-8d31-44f6-892a-f69375c0d2c5,
2021-11-25 00:44:42.000,,2021-11-25 00:46:56.185,2021-11-25 00:46:55.910,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-25 00:45:10.000,58cf0e02-fdef-48c7-91cd-681afa4a7301,
2021-11-25 03:28:10.000,,2021-11-25 03:33:37.590,2021-11-25 03:33:37.575,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-25 03:28:37.000,cc2e610d-37c3-4e29-aa32-be67bc1f3e21,
