Date,Min. average HR (daily),Max. average HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. average HR (day),Min. average HR (day),Number of samples (day),Avg. night HR,Max. average HR (night),Min. average HR (night),Number of samples (night)
2021-10-16 ,41.0,71.0,54.13,23,51.58,59.0,46.0,12,56.91,71.0,41.0,11
2021-10-17 ,42.0,94.0,56.55,22,49.5,67.0,42.0,12,65.0,94.0,47.0,10
2021-10-18 ,43.0,75.0,54.74,23,49.67,60.0,43.0,12,60.27,75.0,52.0,11
2021-10-19 ,44.0,71.0,55.7,20,50.67,62.0,44.0,9,59.82,71.0,52.0,11
2021-10-20 ,44.0,105.0,62.6,20,53.0,82.0,44.0,10,72.2,105.0,50.0,10
2021-10-21 ,44.0,79.0,55.83,23,53.25,67.0,44.0,12,58.64,79.0,50.0,11
2021-10-22 ,46.0,80.0,55.52,23,51.17,65.0,46.0,12,60.27,80.0,51.0,11
2021-10-23 ,45.0,79.0,55.52,23,54.33,79.0,45.0,12,56.82,69.0,47.0,11
2021-10-24 ,45.0,128.0,62.33,21,52.73,65.0,45.0,11,72.9,128.0,57.0,10
2021-10-25 ,44.0,128.0,60.96,23,56.36,75.0,44.0,11,65.17,128.0,52.0,12
2021-10-26 ,46.0,65.0,53.21,24,50.83,65.0,46.0,12,55.58,64.0,51.0,12
2021-10-27 ,47.0,66.0,54.43,23,52.55,66.0,47.0,11,56.17,61.0,50.0,12
2021-10-28 ,43.0,115.0,63.38,24,62.08,115.0,43.0,12,64.67,87.0,47.0,12
2021-10-29 ,45.0,77.0,55.61,23,51.92,62.0,45.0,12,59.64,77.0,51.0,11
2021-10-30 ,44.0,70.0,52.45,22,51.0,70.0,44.0,12,54.2,68.0,45.0,10
2021-10-31 ,43.0,85.0,56.05,20,50.0,56.0,43.0,11,63.44,85.0,51.0,9
2021-11-01 ,43.0,73.0,52.22,23,48.92,61.0,43.0,12,55.82,73.0,47.0,11
2021-11-02 ,43.0,80.0,54.21,19,51.44,78.0,43.0,9,56.7,80.0,47.0,10
2021-11-03 ,43.0,99.0,53.55,22,50.08,64.0,43.0,12,57.7,99.0,47.0,10
2021-11-04 ,42.0,105.0,54.0,23,48.45,58.0,42.0,11,59.08,105.0,47.0,12
2021-11-05 ,44.0,81.0,54.65,23,55.25,81.0,44.0,12,54.0,64.0,49.0,11
2021-11-06 ,41.0,65.0,51.45,22,47.0,59.0,41.0,11,55.91,65.0,49.0,11
2021-11-07 ,45.0,69.0,53.39,23,50.82,66.0,45.0,11,55.75,69.0,47.0,12
2021-11-08 ,43.0,99.0,57.27,22,57.73,99.0,43.0,11,56.82,72.0,49.0,11
2021-11-09 ,42.0,65.0,51.83,24,48.5,60.0,42.0,12,55.17,65.0,46.0,12
2021-11-10 ,42.0,65.0,50.29,21,49.45,65.0,42.0,11,51.2,57.0,48.0,10
2021-11-11 ,39.0,67.0,51.12,24,47.92,61.0,39.0,12,54.33,67.0,46.0,12
2021-11-12 ,41.0,78.0,52.0,23,51.83,67.0,41.0,12,52.18,78.0,43.0,11
2021-11-13 ,41.0,82.0,53.24,21,53.64,82.0,47.0,11,52.8,69.0,41.0,10
2021-11-14 ,41.0,84.0,57.0,23,52.82,84.0,41.0,11,60.83,74.0,48.0,12
2021-11-15 ,40.0,85.0,56.63,19,56.56,85.0,40.0,9,56.7,75.0,47.0,10
2021-11-16 ,42.0,80.0,54.22,23,51.83,72.0,42.0,12,56.82,80.0,47.0,11
2021-11-17 ,42.0,74.0,55.0,22,54.36,74.0,42.0,11,55.64,74.0,47.0,11
2021-11-18 ,45.0,82.0,58.36,22,55.6,65.0,51.0,10,60.67,82.0,45.0,12
2021-11-19 ,41.0,88.0,53.78,23,48.09,59.0,42.0,11,59.0,88.0,41.0,12
2021-11-20 ,42.0,74.0,55.09,23,51.08,64.0,42.0,12,59.45,74.0,48.0,11
2021-11-21 ,44.0,114.0,58.95,21,50.75,70.0,44.0,12,69.89,114.0,53.0,9
2021-11-22 ,42.0,74.0,56.35,23,51.75,67.0,42.0,12,61.36,74.0,54.0,11
2021-11-23 ,43.0,69.0,53.78,23,52.18,69.0,43.0,11,55.25,67.0,48.0,12
2021-11-24 ,44.0,83.0,56.7,23,53.5,68.0,44.0,12,60.18,83.0,52.0,11
2021-11-25 ,45.0,81.0,56.88,24,51.83,64.0,45.0,12,61.92,81.0,52.0,12
2021-11-26 ,46.0,87.0,57.4,20,52.9,67.0,46.0,10,61.9,87.0,53.0,10
2021-11-27 ,43.0,75.0,52.83,23,50.33,75.0,43.0,12,55.55,73.0,48.0,11
2021-11-28 ,42.0,87.0,54.57,21,48.91,67.0,42.0,11,60.8,87.0,51.0,10
2021-11-29 ,43.0,82.0,52.86,22,47.64,58.0,43.0,11,58.09,82.0,50.0,11
2021-11-30 ,43.0,68.0,54.36,22,50.2,66.0,43.0,10,57.83,68.0,49.0,12
2021-12-01 ,49.0,93.0,57.3,23,54.45,64.0,49.0,11,59.92,93.0,50.0,12
2021-12-02 ,42.0,75.0,53.85,20,48.78,65.0,42.0,9,58.0,75.0,49.0,11
2021-12-03 ,45.0,64.0,53.48,21,52.27,63.0,45.0,11,54.8,64.0,50.0,10
2021-12-04 ,40.0,73.0,51.65,23,47.09,60.0,40.0,11,55.83,73.0,46.0,12
2021-12-05 ,41.0,77.0,52.42,24,49.58,66.0,41.0,12,55.25,77.0,46.0,12
2021-12-06 ,41.0,70.0,50.14,49,47.62,70.0,41.0,32,54.88,70.0,46.0,17
2021-12-07 ,54.0,111.0,73.25,16,72.25,76.0,69.0,4,73.58,111.0,54.0,12
2021-12-08 ,38.0,82.0,48.95,83,44.35,70.0,38.0,54,57.52,82.0,49.0,29
2021-12-09 ,43.0,94.0,56.76,34,56.4,94.0,43.0,10,56.92,70.0,49.0,24
2021-12-10 ,43.0,92.0,52.84,56,50.41,75.0,44.0,37,57.58,92.0,43.0,19
2021-12-11 ,39.0,89.0,51.54,69,48.07,64.0,39.0,41,56.61,89.0,44.0,28
