com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
58101,4,0,107,57:00.0,,,09:48.5,09:48.5,107,1.4166666,82.31,4.28,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,58:00.0,e407ec38-7c84-4a62-997d-f040c504e277
29068,4,0,57,16:00.0,,,37:50.2,37:50.2,57,1.5277778,44.41,2.25,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,17:00.0,88769c92-74eb-4210-a637-a5f80ab05ec3
47307,4,0,94,14:00.0,,,15:09.5,15:09.5,94,1.5555556,73.59,3.73,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,15:00.0,75f6f950-62e9-4175-9a4e-ccaf0c805358
58462,4,0,111,13:00.0,,,15:09.5,15:09.5,111,1.4722222,86.07,4.43,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,14:00.0,863195c6-3a53-41f0-88c3-f984d11118d9
45997,4,0,98,17:00.0,,,34:16.8,34:16.8,98,1.6944444,77.94,3.82,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,18:00.0,1f3eef75-9409-4b25-8638-6f561c08bbe2
51573,4,0,90,15:00.0,,,15:59.7,15:02.4,90,1.320636,68.109985,3.5599985,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,16:00.0,0deb5578-1fde-4236-af33-ec7ec2eced9c
37368,4,1,64,14:00.0,,,15:02.1,15:02.1,65,1.5277778,57.09,3.08,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,15:00.0,614339c4-7881-4a6b-ad7e-572092089a61
57287,4,0,109,03:00.0,,,09:48.8,09:48.8,109,1.4722222,84.34,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,04:00.0,09f02e32-31b8-4111-b9bc-2f37185c1654
60000,4,0,117,48:00.0,,,55:40.5,55:40.5,117,1.5153333,90.92,4.68,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,49:00.0,734b4ada-749b-469a-aa30-03c299ad6777
58850,4,0,121,45:00.0,,,55:40.4,55:40.4,121,1.6388888,96.45,4.7,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,46:00.0,0c3e1edf-1fae-4549-bc70-84b65dcfd660
28548,4,0,52,46:00.0,,,55:40.5,55:40.5,52,1.3888888,39.65,2.05,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,47:00.0,9d146535-958a-4562-b129-0b1928e4facd
32399,4,0,57,09:00.0,,,09:59.8,09:49.2,57,1.3385922,43.370003,2.2799993,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,10:00.0,cbbf32dd-c7d4-41cc-94f0-b63fef312c7e
41209,4,0,78,51:00.0,,,55:40.6,55:40.6,78,1.4722222,60.67,3.12,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,52:00.0,773ee31b-1559-48b8-b13b-70a4589ceacc
433,4,0,1,58:00.0,,,15:38.5,15:38.5,1,1.9166666,0.83,0.04,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,59:00.0,fc360d3f-980a-4a57-b9ee-043a7418d389
