com.samsung.health.sleep_stage,6200039,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
21:25.0,00000000-0000-0000-0000-0000251251c1,,21:25.0,30:25.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,30:25.0,99a04df5-b510-7e10-a3c9-6c68dfaeed6f
02:51.0,00000000-0000-0000-0000-0000505f553a,,02:51.0,05:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,05:51.0,a64f3ad3-4064-874a-18eb-39cf3656094d
28:45.0,00000000-0000-0000-0000-00004571fbcf,,28:45.0,29:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,29:45.0,6e8687ec-4a79-d468-0119-7a3070240046
36:45.0,00000000-0000-0000-0000-00004571fbcf,,36:45.0,39:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,39:45.0,e236a395-3a51-e6db-c51f-de7a992de7d4
19:25.0,00000000-0000-0000-0000-0000251251c1,,19:25.0,20:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,20:25.0,b0a5e750-8b01-f7ee-0dcc-88c1929422d9
28:30.0,00000000-0000-0000-0000-000018f55f29,,28:30.0,30:30.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,30:30.0,b8eae17f-122a-4e6c-f86e-7161d0930d90
41:51.0,00000000-0000-0000-0000-0000505f553a,,41:51.0,43:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,43:51.0,fc6a3b69-267d-8c27-6a37-b86ccb25ae14
28:25.0,00000000-0000-0000-0000-00006f0a68f3,,28:25.0,29:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,29:25.0,7b790e36-d6b2-1fb0-efb6-c19ca905d054
30:51.0,00000000-0000-0000-0000-0000505f553a,,30:51.0,31:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,31:51.0,b1285525-c296-c50c-1b09-c74e8cd37164
06:51.0,00000000-0000-0000-0000-0000505f553a,,06:51.0,15:51.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,15:51.0,dab01389-89d4-36d5-382b-b16022cb15b2
58:45.0,00000000-0000-0000-0000-00004571fbcf,,58:45.0,02:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,02:45.0,5adcfacf-802f-f667-6253-d73829b8cdec
13:30.0,00000000-0000-0000-0000-000018f55f29,,13:30.0,17:30.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,17:30.0,d87d9e2e-d627-2ef6-f213-5a77c9693b1d
20:51.0,00000000-0000-0000-0000-0000505f553a,,20:51.0,01:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,01:51.0,0c666bae-8b42-a370-180d-2d625c9bfeb0
43:51.0,00000000-0000-0000-0000-0000505f553a,,43:51.0,51:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,51:51.0,d262f713-735a-725d-cfbc-29faaa485ae8
09:45.0,00000000-0000-0000-0000-00004571fbcf,,09:45.0,11:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,11:45.0,0c3f78a4-990e-7210-2873-ef2693ff4ad6
14:45.0,00000000-0000-0000-0000-00004571fbcf,,14:45.0,16:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,16:45.0,2465a348-5ae1-d948-9f77-00e2ff50cf74
09:45.0,00000000-0000-0000-0000-000020f41578,,09:45.0,10:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,10:45.0,c599d717-065f-d312-cfae-e15b2ef59b4f
30:25.0,00000000-0000-0000-0000-0000251251c1,,30:25.0,31:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,31:25.0,f26d49c0-2ac0-a11d-5090-e61735e57e76
26:25.0,00000000-0000-0000-0000-0000251251c1,,26:25.0,32:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,32:25.0,53283dc5-b99f-3ad2-d7e4-8a61d9d9592b
01:51.0,00000000-0000-0000-0000-0000505f553a,,01:51.0,02:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,02:51.0,6092d772-bf09-f242-7be0-ed3e1d772226
53:09.0,00000000-0000-0000-0000-00002ac81757,,53:09.0,57:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,57:09.0,5334ec72-9a34-0f13-9c3a-e189dcc9019d
49:45.0,00000000-0000-0000-0000-00004571fbcf,,49:45.0,51:45.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,51:45.0,153d4be5-a841-70cc-de69-800b05df79e0
