com.samsung.shealth.activity.day_summary,6200039,2,,,,,,,,,,,,,,,,
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,00:01.8,00:01.8,-1,0,0,0,0,6101559a-b4ae-47d2-aee6-35dc9164e4e1.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,0,-1,6101559a-b4ae-47d2-aee6-35dc9164e4e1,1.63045E+12
8405,4868935,90,0,00:01.8,00:01.4,-1,2523443,88,6596.542,293.598,4c3d275d-949d-410c-a812-88204f75db31.extra_data.json,fLETIHaUF/,54567,com.sec.android.app.shealth,4814368,33299999,4c3d275d-949d-410c-a812-88204f75db31,1.63011E+12
1697,967219,90,0,00:01.5,00:02.1,-1,360000,16,1346.33,60.95,de231d4c-7911-47d9-9278-d23d61938b4d.extra_data.json,fLETIHaUF/,22813,com.sec.android.app.shealth,944406,43799999,de231d4c-7911-47d9-9278-d23d61938b4d,1.63002E+12
15,10005,90,0,55:37.9,00:01.7,-1,10005,0,12.81,0.53,9ab850c5-0426-480b-be82-b879ab3e43d4.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,10005,46140000,9ab850c5-0426-480b-be82-b879ab3e43d4,1.6302E+12
520,335070,90,0,32:28.6,00:01.4,-1,60000,5,442.62997,18.710001,2b538d23-c4da-4aaf-901f-7c924986db02.extra_data.json,fLETIHaUF/,2631,com.sec.android.app.shealth,332439,40500000,2b538d23-c4da-4aaf-901f-7c924986db02,1.63132E+12
1955,1177028,90,0,00:01.4,00:01.4,-1,300000,21,1529.5901,74.97001,f2ed9db9-398c-469c-a055-1d6838b3ce0e.extra_data.json,fLETIHaUF/,16268,com.sec.android.app.shealth,1160760,50759999,f2ed9db9-398c-469c-a055-1d6838b3ce0e,1.63063E+12
0,0,90,0,24:16.7,24:16.7,-1,0,0,0,0,9bd1121f-f6dc-4cba-97bf-1f4dcebf1bdb.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,9bd1121f-f6dc-4cba-97bf-1f4dcebf1bdb,1.62579E+12
0,0,90,0,00:01.8,00:01.8,-1,0,0,0,0,739b2446-1a07-4d39-aead-a33b853ef5d4.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,0,-1,739b2446-1a07-4d39-aead-a33b853ef5d4,1.63097E+12
1955,1231368,90,0,16:02.6,00:01.4,-1,120000,22,1538.1703,68.51002,361bddbc-e7d9-46ea-9a60-0f8c1f18e180.extra_data.json,fLETIHaUF/,3626,com.sec.android.app.shealth,1227742,26220000,361bddbc-e7d9-46ea-9a60-0f8c1f18e180,1.63071E+12
2317,1364735,90,0,36:19.6,00:01.8,-1,180000,23,1884.9899,83.19001,f4e86121-71eb-4a59-8937-06fbc09846f1.extra_data.json,fLETIHaUF/,56519,com.sec.android.app.shealth,1308216,48240000,f4e86121-71eb-4a59-8937-06fbc09846f1,1.63054E+12
1859,1129221,90,0,00:01.0,00:00.8,-1,180000,20,1526.4299,64.049995,278f88f9-5940-487a-a5b9-b4a5c8d3c99d.extra_data.json,fLETIHaUF/,26121,com.sec.android.app.shealth,1103100,44279999,278f88f9-5940-487a-a5b9-b4a5c8d3c99d,1.63115E+12
3562,2162435,90,0,57:23.7,00:01.5,-1,180000,38,2783.29,126.86999,736355ff-3852-4e82-9a7b-d5b5e5259717.extra_data.json,fLETIHaUF/,13014,com.sec.android.app.shealth,2149421,33480000,736355ff-3852-4e82-9a7b-d5b5e5259717,1.62985E+12
4273,2491974,90,0,00:02.3,00:00.7,-1,420000,44,3387.951,157.76999,1f9c7364-59af-4c0d-b2f0-132d524d6878.extra_data.json,fLETIHaUF/,42792,com.sec.android.app.shealth,2449182,33539999,1f9c7364-59af-4c0d-b2f0-132d524d6878,1.63149E+12
4583,2782623,90,0,31:00.8,00:01.7,-1,240000,51,3720.7998,164.20998,9d144687-c9be-4019-9214-846198d134c3.extra_data.json,fLETIHaUF/,79843,com.sec.android.app.shealth,2702780,31560000,9d144687-c9be-4019-9214-846198d134c3,1.63184E+12
1921,1157048,90,0,33:14.0,00:00.9,-1,240000,21,1500.1,69.44,52c611e5-776b-49c9-9cfa-d538964a300a.extra_data.json,fLETIHaUF/,800,com.sec.android.app.shealth,1156248,33840000,52c611e5-776b-49c9-9cfa-d538964a300a,1.63123E+12
4691,2857191,90,0,15:22.5,00:01.9,-1,240000,52,3723.46,155.34999,7f5e07ea-3ec5-4a31-9fd5-a109e991fb99.extra_data.json,fLETIHaUF/,29115,com.sec.android.app.shealth,2828076,32340000,7f5e07ea-3ec5-4a31-9fd5-a109e991fb99,1.63166E+12
312,207570,90,0,38:45.4,00:01.6,-1,52693,3,260.13998,12.73,6bc7a231-2c01-44e6-ac66-bb8a59805456.extra_data.json,fLETIHaUF/,800,com.sec.android.app.shealth,206770,43080000,6bc7a231-2c01-44e6-ac66-bb8a59805456,1.63037E+12
4883,2871304,90,0,38:33.1,00:01.9,-1,300000,52,3801.4397,166.45,d1cd46e4-4b0d-4ee8-8aba-acc833bf99d0.extra_data.json,fLETIHaUF/,6705,com.sec.android.app.shealth,2864599,32400000,d1cd46e4-4b0d-4ee8-8aba-acc833bf99d0,1.63236E+12
3641,2341240,90,0,15:44.9,00:00.6,-1,240000,43,2851.97,123.81002,5248f3b9-b94d-4ebd-8d8c-aa409c0056b4.extra_data.json,fLETIHaUF/,789,com.sec.android.app.shealth,2340451,34800000,5248f3b9-b94d-4ebd-8d8c-aa409c0056b4,1.63106E+12
1068,694953,90,0,37:08.5,00:01.9,-1,60000,12,856.4599,36.539997,ab45894a-dae7-49ed-910e-c3d8bce013f6.extra_data.json,fLETIHaUF/,2000,com.sec.android.app.shealth,692953,34440000,ab45894a-dae7-49ed-910e-c3d8bce013f6,1.63201E+12
430,283606,90,0,53:36.4,00:02.0,-1,44822,4,356.66998,15.389999,e8605134-e443-41ba-b093-1a8bca17b2d2.extra_data.json,fLETIHaUF/,4800,com.sec.android.app.shealth,278806,43080000,e8605134-e443-41ba-b093-1a8bca17b2d2,1.63218E+12
770,509051,90,0,00:02.0,00:01.4,-1,60000,8,648.38995,28.739996,441ae07a-36ca-4bd9-a3e4-1a72580b819c.extra_data.json,fLETIHaUF/,6800,com.sec.android.app.shealth,502251,34679999,441ae07a-36ca-4bd9-a3e4-1a72580b819c,1.63089E+12
4055,2476247,90,0,00:01.8,00:01.8,-1,300000,45,3150.9802,148.31001,5783977d-2651-41e2-9f40-e4c4b9ec91dd.extra_data.json,fLETIHaUF/,14545,com.sec.android.app.shealth,2461702,41519999,5783977d-2651-41e2-9f40-e4c4b9ec91dd,1.63175E+12
456,303188,90,0,00:02.0,00:02.2,-1,60000,5,379.1,18.44,aeff1698-7702-4fca-84ba-e7069930e913.extra_data.json,fLETIHaUF/,400,com.sec.android.app.shealth,302788,50519999,aeff1698-7702-4fca-84ba-e7069930e913,1.63158E+12
182,121394,90,0,55:52.1,00:00.5,-1,23345,2,156.81,6.9199996,80ad20c3-6815-4434-9313-df2297cc3c5e.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,121394,37740000,80ad20c3-6815-4434-9313-df2297cc3c5e,1.63287E+12
1084,622203,90,0,57:57.5,29:10.9,-1,240000,11,858.15,35.340004,e82f87e9-c0dd-4b56-ae17-4b14c9e905d6.extra_data.json,fLETIHaUF/,8830,com.sec.android.app.shealth,613373,44640000,e82f87e9-c0dd-4b56-ae17-4b14c9e905d6,1.63253E+12
1002,622748,90,0,35:49.2,00:01.7,-1,180000,11,818.0499,35.279995,7de8307e-6408-437e-bd0b-b2f5cb5fa4b1.extra_data.json,fLETIHaUF/,19419,com.sec.android.app.shealth,603329,33660000,7de8307e-6408-437e-bd0b-b2f5cb5fa4b1,1.6314E+12
2011,1232397,90,0,00:02.0,00:00.5,-1,120000,21,1621.71,71.05,a62d1af3-644e-486d-9512-b84dd3f9f974.extra_data.json,fLETIHaUF/,37897,com.sec.android.app.shealth,1194500,43739999,a62d1af3-644e-486d-9512-b84dd3f9f974,1.63227E+12
4529,2757184,90,0,35:35.2,00:01.8,-1,300000,50,3563.3909,159.41,1e941c0f-c239-4b52-a168-1ed1b4f3bb7a.extra_data.json,fLETIHaUF/,24886,com.sec.android.app.shealth,2732298,31800000,1e941c0f-c239-4b52-a168-1ed1b4f3bb7a,1.6327E+12
3940,2282638,90,0,00:02.2,00:02.1,-1,360000,41,3156.59,134.46999,7645a328-9e2b-4601-8d05-a20417f6c425.extra_data.json,fLETIHaUF/,64713,com.sec.android.app.shealth,2217925,37379999,7645a328-9e2b-4601-8d05-a20417f6c425,1.6321E+12
2451,1468507,90,0,15:52.7,00:01.1,-1,300000,26,1920.1898,86.920006,15394164-b7c4-4e91-b60c-e1ba96587666.extra_data.json,fLETIHaUF/,5026,com.sec.android.app.shealth,1463481,36660000,15394164-b7c4-4e91-b60c-e1ba96587666,1.63305E+12
2823,1665165,90,0,56:14.3,00:02.0,-1,180000,30,2276.8696,100.25,49b3291b-4f32-4e9b-96d5-38f61b6fa732.extra_data.json,fLETIHaUF/,62925,com.sec.android.app.shealth,1602240,32520000,49b3291b-4f32-4e9b-96d5-38f61b6fa732,1.63279E+12
4997,3032566,90,0,00:02.1,00:00.6,-1,240000,54,4046.3098,183.87003,325b104d-b5ab-40fa-a179-a314a7868b6f.extra_data.json,fLETIHaUF/,56933,com.sec.android.app.shealth,2975633,32639999,325b104d-b5ab-40fa-a179-a314a7868b6f,1.63192E+12
3175,1951308,90,0,00:02.5,00:01.9,-1,678415,35,2539.1,111.82998,789cf1d0-1fd1-44a7-bdb6-4f2ad0ba7d0f.extra_data.json,fLETIHaUF/,20187,com.sec.android.app.shealth,1931121,43199999,789cf1d0-1fd1-44a7-bdb6-4f2ad0ba7d0f,1.63339E+12
4508,2735969,90,0,16:53.8,00:01.3,-1,1062147,50,3570.4365,156.25484,f7fe49a8-e39e-4804-9d5f-ea510b7ce957.extra_data.json,fLETIHaUF/,26182,com.sec.android.app.shealth,2709787,34500000,f7fe49a8-e39e-4804-9d5f-ea510b7ce957,1.63261E+12
19466,12514804,90,0,56:05.6,00:02.3,-1,360000,231,15452.928,677.6102,a3351268-cef0-4dd8-bd1a-1ca6aee70dca.extra_data.json,fLETIHaUF/,85572,com.sec.android.app.shealth,12429232,25440000,a3351268-cef0-4dd8-bd1a-1ca6aee70dca,1.63356E+12
2441,1475665,90,0,18:34.9,00:02.5,-1,180000,26,1959.0203,86.89,9b189e95-4daf-4ba1-8833-bfbe71b35eac.extra_data.json,fLETIHaUF/,9297,com.sec.android.app.shealth,1466368,33000000,9b189e95-4daf-4ba1-8833-bfbe71b35eac,1.63331E+12
6127,3695151,90,0,15:47.1,00:01.7,-1,240000,67,4821.21,200.76001,8bab7c50-92a6-404b-9fd3-6d6b87a4afba.extra_data.json,fLETIHaUF/,11074,com.sec.android.app.shealth,3684077,26940000,8bab7c50-92a6-404b-9fd3-6d6b87a4afba,1.63244E+12
3067,1861047,90,0,00:02.6,00:01.8,-1,180000,33,2491.4595,109.09001,70ff8c22-0b3b-4d78-a19a-158833aacbf9.extra_data.json,fLETIHaUF/,61957,com.sec.android.app.shealth,1799090,37019999,70ff8c22-0b3b-4d78-a19a-158833aacbf9,1.63322E+12
1457,834575,90,0,00:02.1,00:01.2,-1,240000,14,1168.84,57.87,ba10ccc8-0adb-424d-82b9-7a070d9f6cee.extra_data.json,fLETIHaUF/,34636,com.sec.android.app.shealth,799939,49619999,ba10ccc8-0adb-424d-82b9-7a070d9f6cee,1.63391E+12
2296,1365001,90,0,00:01.8,00:02.2,-1,360000,24,1773.34,81.649994,42ade917-9386-4cf8-8d8d-8cf46d97cc96.extra_data.json,fLETIHaUF/,2800,com.sec.android.app.shealth,1362201,38159999,42ade917-9386-4cf8-8d8d-8cf46d97cc96,1.63313E+12
768,509157,90,0,00:01.3,00:02.2,-1,60000,8,620.41003,27.639997,8f12b392-43b0-4c3f-bfb1-a88e61cc66cf.extra_data.json,fLETIHaUF/,1600,com.sec.android.app.shealth,507557,45779999,8f12b392-43b0-4c3f-bfb1-a88e61cc66cf,1.63408E+12
