com.samsung.shealth.exercise,6200039,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,1,,,,4,0,0,,,,,,,,,673785,,,,16:00.0,1001,,,,,30001,,,,36:50.0,36:50.0,,1.8055556,,,1065,811.14,,42.67,,,,UTC+0900,fLETIHaUF/,,,5848e862-692f-4fe7-a814-286b804a7a42.com.samsung.health.exercise.live_data.json,,1.2038558,com.sec.android.app.shealth,,,,27:13.0,5848e862-692f-4fe7-a814-286b804a7a42,
,,,,1,,,,4,0,0,,,,,,,,,2523443,,,,40:00.0,1001,,,,,30001,,,,23:34.7,23:34.7,,1.6666666,,,4446,3430.69,,147.45,,,,UTC+0900,fLETIHaUF/,,,fea9eb12-9e88-48fb-b36e-e289a1c8c0ed.com.samsung.health.exercise.live_data.json,,1.3595275,com.sec.android.app.shealth,,,,22:03.0,fea9eb12-9e88-48fb-b36e-e289a1c8c0ed,
,,,,1,,,,4,0,0,,,,,,,,,2912180,,,,01:00.0,1001,,,,,30001,,,,55:40.5,55:40.5,,2.0277777,,,4842,3755.33,,193.14,,,,UTC+0900,fLETIHaUF/,,,d0eb281f-1126-4479-9499-71e165bfd48a.com.samsung.health.exercise.live_data.json,,1.2895254,com.sec.android.app.shealth,,,,49:32.0,d0eb281f-1126-4479-9499-71e165bfd48a,
,,,,1,,,,4,0,0,,,,,,,,,3036784,,,,09:00.0,1001,,,,,30001,,,,07:44.2,07:44.2,,1.75,,,5248,4045.41,,188.58,,,,UTC+0900,fLETIHaUF/,,,556e8b96-e7e8-4536-874c-4944e6272b49.com.samsung.health.exercise.live_data.json,,1.3321363,com.sec.android.app.shealth,,,,59:36.0,556e8b96-e7e8-4536-874c-4944e6272b49,
,,,,1,,,,4,0,0,,,,,,,,,2297743,,,,28:20.0,1001,,,,,30001,,,,16:35.9,16:35.9,,1.5833334,,,4262,3296.73,,170.25,,,,UTC+0900,fLETIHaUF/,,,0a7d739e-5c3c-4072-a1e7-298e5e4769ff.com.samsung.health.exercise.live_data.json,,1.4347689,com.sec.android.app.shealth,,,,06:38.0,0a7d739e-5c3c-4072-a1e7-298e5e4769ff,
,,,,1,,,,4,0,0,,,,,,,,,1702496,,,,56:00.0,1001,,,,,30001,,,,36:04.5,36:04.5,,2.2222223,,,2950,2280.59,,118.12,,,,UTC+0900,fLETIHaUF/,,,e5a50f08-1eba-4d13-a1fa-b5eb7715f0a5.com.samsung.health.exercise.live_data.json,,1.3395567,com.sec.android.app.shealth,,,,24:22.0,e5a50f08-1eba-4d13-a1fa-b5eb7715f0a5,
,,,,1,,,,4,0,0,,,,,,,,,3004000,,,,21:00.0,1001,,,,,30001,,,,15:42.2,15:42.2,,1.5,,,4931,3688.93,,197.02,,,,UTC+0900,fLETIHaUF/,,,561a0938-485f-4988-8d9f-9a7ca740379b.com.samsung.health.exercise.live_data.json,,1.228006,com.sec.android.app.shealth,,,,11:04.0,561a0938-485f-4988-8d9f-9a7ca740379b,
,,,,1,,,,4,0,0,,,,,,,,,1051147,,,,44:11.0,1001,,,,,30001,,,,15:38.8,15:38.8,,1.5277778,,,1842,1418.87,,61.33,,,,UTC+0900,fLETIHaUF/,,,cec1d601-6bca-4985-ae07-2937381cbd11.com.samsung.health.exercise.live_data.json,,1.3498302,com.sec.android.app.shealth,,,,01:42.0,cec1d601-6bca-4985-ae07-2937381cbd11,
,,,,1,,,,4,0,0,,,,,,,,,678415,,,,10:00.0,1001,,,,,30001,,,,22:17.7,22:17.7,,1.9722222,,,1045,814.06,,38.83,,,,UTC+0900,fLETIHaUF/,,,5cbccfe1-7815-4bc0-a326-278cc79a7ec5.com.samsung.health.exercise.live_data.json,,1.199944,com.sec.android.app.shealth,,,,21:18.0,5cbccfe1-7815-4bc0-a326-278cc79a7ec5,
,,,,1,,,,4,0,0,,,,,,,,,1716265,,,,17:37.0,1001,,,,,30001,,,,55:43.9,55:43.9,,2.0555556,,,2896,2242.02,,115.94,,,,UTC+0900,fLETIHaUF/,,,a16f9976-8617-416b-8cee-0f501403e92d.com.samsung.health.exercise.live_data.json,,1.3063366,com.sec.android.app.shealth,,,,46:13.0,a16f9976-8617-416b-8cee-0f501403e92d,
