com.samsung.shealth.tracker.pedometer_day_summary,6200039,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6,61d4aca8-0634-4d9d-8953-6adfe3237242.binning_data.json,6068,6000,0,00:01.2,com.sec.android.app.shealth,00:01.2,,0.7507325,4.555664,0.21087646,6,NooOiVctGC,com.sec.android.app.shealth,0,61d4aca8-0634-4d9d-8953-6adfe3237242.achievement.json,61d4aca8-0634-4d9d-8953-6adfe3237242,1.6289E+12
2758,aca1b99f-b527-4fd4-b006-eb17ed022aa3.binning_data.json,2385035,6000,0,47:34.1,com.sec.android.app.shealth,36:05.6,aca1b99f-b527-4fd4-b006-eb17ed022aa3.source_info.json,0.8911008,2125.3066,96.83557,2758,VfS0qUERdZ,com.sec.android.app.shealth,0,aca1b99f-b527-4fd4-b006-eb17ed022aa3.achievement.json,aca1b99f-b527-4fd4-b006-eb17ed022aa3,1.62916E+12
1131,8b2ed3d9-8ec2-42be-b882-7ea56972fb5f.binning_data.json,1732642,6000,3,03:08.2,com.sec.android.app.shealth,33:32.3,8b2ed3d9-8ec2-42be-b882-7ea56972fb5f.source_info.json,0.5033305,872.0918,40.572144,1128,VfS0qUERdZ,com.sec.android.app.shealth,0,8b2ed3d9-8ec2-42be-b882-7ea56972fb5f.achievement.json,8b2ed3d9-8ec2-42be-b882-7ea56972fb5f,1.62899E+12
2789,720927a6-da93-43a2-8ae8-b839552f07a6.binning_data.json,4425132,6000,10,11:03.1,com.sec.android.app.shealth,32:10.8,720927a6-da93-43a2-8ae8-b839552f07a6.source_info.json,0.48720133,2155.9307,99.071045,2779,VfS0qUERdZ,com.sec.android.app.shealth,0,720927a6-da93-43a2-8ae8-b839552f07a6.achievement.json,720927a6-da93-43a2-8ae8-b839552f07a6,1.62907E+12
96,3768b63d-e2a1-4320-a915-bb13719bcc8a.binning_data.json,600000,6000,0,00:08.9,com.sec.android.app.shealth,00:08.9,,0.12440917,74.64551,3.35437,96,GzaRnrgqFB,com.sec.android.app.shealth,0,3768b63d-e2a1-4320-a915-bb13719bcc8a.achievement.json,3768b63d-e2a1-4320-a915-bb13719bcc8a,1.6289E+12
606,7e899403-4b90-44b3-9bd2-9c5a6273c4f5.binning_data.json,1886198,6000,1,20:02.5,com.sec.android.app.shealth,24:05.5,7e899403-4b90-44b3-9bd2-9c5a6273c4f5.source_info.json,0.25179887,474.94263,21.467253,605,VfS0qUERdZ,com.sec.android.app.shealth,0,7e899403-4b90-44b3-9bd2-9c5a6273c4f5.achievement.json,7e899403-4b90-44b3-9bd2-9c5a6273c4f5,1.62924E+12
351,a3f4eba8-401e-4e5c-bd46-f36966875c92.binning_data.json,1379999,6000,0,00:03.4,com.sec.android.app.shealth,00:03.4,,0.19634567,270.95703,12.326111,351,GzaRnrgqFB,com.sec.android.app.shealth,0,a3f4eba8-401e-4e5c-bd46-f36966875c92.achievement.json,a3f4eba8-401e-4e5c-bd46-f36966875c92,1.62873E+12
2716,df612e43-3c19-4610-bd27-2d87545b58e3.binning_data.json,1575671,6000,2,00:01.5,com.sec.android.app.shealth,00:01.5,,1.3077853,2060.6401,96.29764,2714,NooOiVctGC,com.sec.android.app.shealth,0,df612e43-3c19-4610-bd27-2d87545b58e3.achievement.json,df612e43-3c19-4610-bd27-2d87545b58e3,1.62942E+12
780,f6d0c21f-ac75-4531-9f1a-46c9c65e0173.binning_data.json,2339999,6000,7,51:43.6,com.sec.android.app.shealth,51:43.6,,0.25988916,608.1406,27.503845,773,GzaRnrgqFB,com.sec.android.app.shealth,0,f6d0c21f-ac75-4531-9f1a-46c9c65e0173.achievement.json,f6d0c21f-ac75-4531-9f1a-46c9c65e0173,1.62881E+12
3185,cb060290-699d-4a3e-b617-2615c2153abd.binning_data.json,3756128,6000,2,32:03.8,com.sec.android.app.shealth,09:01.1,cb060290-699d-4a3e-b617-2615c2153abd.source_info.json,0.649044,2437.8923,112.50548,3183,VfS0qUERdZ,com.sec.android.app.shealth,0,cb060290-699d-4a3e-b617-2615c2153abd.achievement.json,cb060290-699d-4a3e-b617-2615c2153abd,1.62942E+12
