com.samsung.shealth.calories_burned.details,6200039,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,1c41f4b3-ddb7-4237-a5b5-b4186adb46ad.extra_data.json,0.0,3021137,1565.0116,2017-11-16 22:04:28.748,2017-11-16 22:04:28.748,177.17,wakAfCXJCw,com.sec.android.app.shealth,1c41f4b3-ddb7-4237-a5b5-b4186adb46ad,1510531200000,
,,9fb861a4-d10c-4151-9be4-46a3dd723287.extra_data.json,0.0,384859,1614.4941,2017-11-27 15:01:11.186,2017-11-26 15:00:01.808,21.699999,wakAfCXJCw,com.sec.android.app.shealth,9fb861a4-d10c-4151-9be4-46a3dd723287,1511740800000,
,,9580f469-aea4-415b-a24c-3c573edf47a8.extra_data.json,0.0,1044388,1596.5067,2018-01-05 07:29:23.124,2017-12-19 15:00:20.121,54.829998,wakAfCXJCw,com.sec.android.app.shealth,9580f469-aea4-415b-a24c-3c573edf47a8,1513728000000,
,,368ea2ef-c99a-46f2-b06c-8912acb9d7c6.extra_data.json,0.0,1028113,1602.4203,2017-11-22 15:00:33.245,2017-11-21 15:00:00.854,56.599995,wakAfCXJCw,com.sec.android.app.shealth,368ea2ef-c99a-46f2-b06c-8912acb9d7c6,1511308800000,
,,5dbb51dd-4c13-41f7-8c63-915df3bbaa7d.extra_data.json,0.0,1621295,1591.2864,2017-12-03 15:11:30.753,2017-12-02 15:00:00.605,91.57001,wakAfCXJCw,com.sec.android.app.shealth,5dbb51dd-4c13-41f7-8c63-915df3bbaa7d,1512259200000,
,,d06dedd6-c952-4ebe-864b-a643ca19f284.extra_data.json,0.0,983023,1597.6544,2018-01-05 07:29:23.313,2017-12-25 15:00:03.095,56.1,wakAfCXJCw,com.sec.android.app.shealth,d06dedd6-c952-4ebe-864b-a643ca19f284,1514246400000,
,,3ecd6fff-d8ab-44f7-b1dd-fe4441adab6a.extra_data.json,0.0,862267,1599.9131,2018-01-05 07:29:23.095,2017-12-18 15:00:16.478,46.399998,wakAfCXJCw,com.sec.android.app.shealth,3ecd6fff-d8ab-44f7-b1dd-fe4441adab6a,1513641600000,
,,4d867bf9-8e90-463a-8c8b-7466b768f0d4.extra_data.json,0.0,1581367,1592.0358,2017-11-28 21:55:00.650,2017-11-27 15:01:10.766,83.19,wakAfCXJCw,com.sec.android.app.shealth,4d867bf9-8e90-463a-8c8b-7466b768f0d4,1511827200000,
,,332be6bd-4c3e-4fb7-8393-8db598360e1c.extra_data.json,0.0,1942304,1579.7118,2018-01-05 07:29:22.679,2017-12-08 15:01:35.817,99.39998,wakAfCXJCw,com.sec.android.app.shealth,332be6bd-4c3e-4fb7-8393-8db598360e1c,1512777600000,
,,4779c66f-d2c7-4a9f-8b9d-785666478a27.extra_data.json,0.0,660463,1603.6876,2018-01-05 07:29:23.282,2017-12-24 15:01:00.629,34.019997,wakAfCXJCw,com.sec.android.app.shealth,4779c66f-d2c7-4a9f-8b9d-785666478a27,1514160000000,
,,31455ab4-7b6f-4d63-8b71-b76332696b38.extra_data.json,0.0,2030132,1578.0691,2018-01-01 15:01:31.076,2017-12-31 15:01:00.691,108.889984,wakAfCXJCw,com.sec.android.app.shealth,31455ab4-7b6f-4d63-8b71-b76332696b38,1514764800000,
,,87177fd1-2575-4760-9177-dc7d8e9cdb91.extra_data.json,0.0,537572,1611.6278,2017-12-04 15:00:01.171,2017-12-03 15:11:30.345,27.659998,wakAfCXJCw,com.sec.android.app.shealth,87177fd1-2575-4760-9177-dc7d8e9cdb91,1512345600000,
,,144c3cbb-fb2f-4f16-8daa-ae2d1a46ac95.extra_data.json,0.0,909788,1599.0242,2018-01-05 07:29:22.981,2017-12-14 15:00:15.234,45.84,wakAfCXJCw,com.sec.android.app.shealth,144c3cbb-fb2f-4f16-8daa-ae2d1a46ac95,1513296000000,
,,0c399330-ecab-4b73-a309-13d8a90339bd.extra_data.json,0.0,4311544,1535.3971,2017-12-31 15:01:00.948,2017-12-30 15:00:00.909,206.37283,wakAfCXJCw,com.sec.android.app.shealth,0c399330-ecab-4b73-a309-13d8a90339bd,1514678400000,
,,81fcbe1d-7d6a-45ce-b124-74f7916c39ba.extra_data.json,0.0,1436656,1589.1696,2018-01-07 15:00:16.981,2018-01-06 16:36:23.178,93.02999,wakAfCXJCw,com.sec.android.app.shealth,81fcbe1d-7d6a-45ce-b124-74f7916c39ba,1515283200000,
,,bee2b265-77a0-4507-b124-7f9f92e861e9.extra_data.json,0.0,1247126,1592.7145,2018-01-05 07:29:22.744,2017-12-09 15:00:33.971,67.97,wakAfCXJCw,com.sec.android.app.shealth,bee2b265-77a0-4507-b124-7f9f92e861e9,1512864000000,
,,2e2609fa-c9a3-499f-8ac6-1cf099a79fb9.extra_data.json,0.0,2253054,1573.8994,2018-01-06 16:36:23.742,2018-01-05 16:09:12.976,139.56996,wakAfCXJCw,com.sec.android.app.shealth,2e2609fa-c9a3-499f-8ac6-1cf099a79fb9,1515196800000,
,,f27dfb04-86ba-4582-bd68-205fb036496b.extra_data.json,0.0,903518,1599.1415,2018-01-05 07:29:23.152,2017-12-20 15:00:06.252,46.8,wakAfCXJCw,com.sec.android.app.shealth,f27dfb04-86ba-4582-bd68-205fb036496b,1513814400000,
,,177e71ce-8272-4438-822c-f334df8d6181.extra_data.json,0.0,400200,1608.5557,2018-01-05 07:29:23.002,2017-12-15 15:04:27.474,20.279997,wakAfCXJCw,com.sec.android.app.shealth,177e71ce-8272-4438-822c-f334df8d6181,1513382400000,
,,7be4ae7a-3924-42bf-9925-a9f978f00c21.extra_data.json,0.0,2092889,1576.8953,2018-01-13 15:00:01.142,2018-01-12 15:00:00.773,118.49003,wakAfCXJCw,com.sec.android.app.shealth,7be4ae7a-3924-42bf-9925-a9f978f00c21,1515801600000,
,,8c233cb5-076b-47f3-966a-f3a992109199.extra_data.json,0.0,2785039,1563.9491,2018-01-12 15:00:00.954,2018-01-11 15:04:28.962,136.75998,wakAfCXJCw,com.sec.android.app.shealth,8c233cb5-076b-47f3-966a-f3a992109199,1515715200000,
,,35162db4-14ff-4637-8896-bb3b2643f201.extra_data.json,0.0,506118,1606.5745,2018-01-19 15:00:01.229,2018-01-18 15:00:00.896,27.49,wakAfCXJCw,com.sec.android.app.shealth,35162db4-14ff-4637-8896-bb3b2643f201,1516320000000,
