com.samsung.shealth.tracker.pedometer_day_summary,6200039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
653,38cdf396-1a36-47f2-a7cc-33ec1ad7776d.binning_data.json,368519,6000,3,2016-01-16 15:00:03.146,com.sec.android.app.shealth,2016-01-16 15:00:03.146,,2.1944444,469.08002,22.5,650,wakAfCXJCw,com.sec.android.app.shealth,0,38cdf396-1a36-47f2-a7cc-33ec1ad7776d.achievement.json,38cdf396-1a36-47f2-a7cc-33ec1ad7776d,1452902400000,
4696,060a4706-28fa-41fc-a639-22a3f00771a3.binning_data.json,2630828,6000,12,2016-02-16 03:00:47.221,com.sec.android.app.shealth,2016-02-16 03:00:47.221,,2.4722226,3416.6401,154.56999,4684,wakAfCXJCw,com.sec.android.app.shealth,0,060a4706-28fa-41fc-a639-22a3f00771a3.achievement.json,060a4706-28fa-41fc-a639-22a3f00771a3,1455580800000,
5732,23fbe2e9-2a79-4092-bcde-9fb27e7d5fb1.binning_data.json,3610236,6000,1,2015-12-30 15:00:03.298,com.sec.android.app.shealth,2015-12-30 15:00:03.298,,2.5098367,3981.08,185.52,5731,wakAfCXJCw,com.sec.android.app.shealth,0,23fbe2e9-2a79-4092-bcde-9fb27e7d5fb1.achievement.json,23fbe2e9-2a79-4092-bcde-9fb27e7d5fb1,1451433600000,
390,0cd54294-e472-40b7-970c-06972e40b57d.binning_data.json,248586,6000,0,2016-01-27 15:00:03.161,com.sec.android.app.shealth,2016-01-27 15:00:03.161,,1.5000001,274.55,13.67,390,wakAfCXJCw,com.sec.android.app.shealth,0,0cd54294-e472-40b7-970c-06972e40b57d.achievement.json,0cd54294-e472-40b7-970c-06972e40b57d,1453852800000,
321,f36cbdfe-6f2a-4aac-a2ac-a1bd2e925a09.binning_data.json,208411,6000,0,2016-01-22 15:00:34.642,com.sec.android.app.shealth,2016-01-22 15:00:34.642,,1.8888888,222.21,12.14,321,wakAfCXJCw,com.sec.android.app.shealth,0,f36cbdfe-6f2a-4aac-a2ac-a1bd2e925a09.achievement.json,f36cbdfe-6f2a-4aac-a2ac-a1bd2e925a09,1453420800000,
8165,5bb5e876-595a-4732-82f4-864cde30b6c6.binning_data.json,4401523,6000,19,2016-02-05 15:00:29.479,com.sec.android.app.shealth,2016-02-05 15:00:29.479,,5.384293,5900.75,266.22,8146,wakAfCXJCw,com.sec.android.app.shealth,0,5bb5e876-595a-4732-82f4-864cde30b6c6.achievement.json,5bb5e876-595a-4732-82f4-864cde30b6c6,1454630400000,
2975,26106c17-da65-4d47-b871-e6365bdb716c.binning_data.json,1754906,6000,0,2016-01-05 15:00:02.775,com.sec.android.app.shealth,2016-01-05 15:00:02.775,,1.9444443,2045.5499,98.51,2975,wakAfCXJCw,com.sec.android.app.shealth,0,26106c17-da65-4d47-b871-e6365bdb716c.achievement.json,26106c17-da65-4d47-b871-e6365bdb716c,1451952000000,
1888,464bd12c-cb40-4684-b79c-0cc5c278fb15.binning_data.json,1119482,6000,4,2016-01-26 15:00:08.352,com.sec.android.app.shealth,2016-01-26 15:00:08.352,,3.0773125,1346.5,64.46,1884,wakAfCXJCw,com.sec.android.app.shealth,0,464bd12c-cb40-4684-b79c-0cc5c278fb15.achievement.json,464bd12c-cb40-4684-b79c-0cc5c278fb15,1453766400000,
5653,e7481c4c-2454-4d3f-a42c-7896edce2d4a.binning_data.json,2641552,6000,56,2016-02-23 15:00:02.868,com.sec.android.app.shealth,2016-02-23 03:02:03.435,,2.7777774,4156.12,197.76,5597,wakAfCXJCw,com.sec.android.app.shealth,0,e7481c4c-2454-4d3f-a42c-7896edce2d4a.achievement.json,e7481c4c-2454-4d3f-a42c-7896edce2d4a,1456185600000,
287,a3dfa772-2ab2-42b6-8c6e-7b184081c0ea.binning_data.json,172989,6000,3,2016-02-01 07:41:54.503,com.sec.android.app.shealth,2016-02-01 07:41:54.503,,2.2228792,209.88,10.34,284,wakAfCXJCw,com.sec.android.app.shealth,0,a3dfa772-2ab2-42b6-8c6e-7b184081c0ea.achievement.json,a3dfa772-2ab2-42b6-8c6e-7b184081c0ea,1453939200000,
