Date,Step Count,Speed (m/s),Distance,Calories
2021-10-24 ,3956,1.3,2977.32,147.24
2021-10-25 ,4635,1.08,3385.52,179.21
2021-10-26 ,10241,0.69,7753.45,381.77
2021-10-27 ,5304,0.28,4085.77,188.24
2021-10-28 ,10931,0.43,8308.8,400.54
2021-10-29 ,9127,0.46,6870.94,335.59
2021-10-30 ,11071,0.42,8428.84,397.43
2021-10-31 ,5947,0.58,4526.34,219.33
2021-11-01 ,6963,0.81,5272.61,258.26
2021-11-02 ,5983,0.26,4583.63,215.35
2021-11-03 ,3127,0.26,2398.74,110.7
2021-11-04 ,11060,0.34,8376.87,398.24
2021-11-05 ,7007,0.56,5289.32,258.43
2021-11-06 ,7886,0.29,6043.15,279.72
2021-11-07 ,5475,0.37,4190.86,195.12
2021-11-08 ,3132,0.28,2404.85,110.12
2021-11-09 ,5591,0.64,4234.9,210.65
2021-11-10 ,6290,0.32,4815.72,224.73
2021-11-11 ,5526,0.36,4225.73,198.1
2021-11-12 ,6614,0.29,5069.17,239.28
2021-11-13 ,7143,0.27,5473.17,254.54
2021-11-14 ,6492,0.35,4938.26,236.25
2021-11-15 ,6805,0.62,5133.84,251.61
2021-11-16 ,7171,0.28,5501.38,255.68
2021-11-17 ,2946,0.24,2273.84,104.18
2021-11-18 ,11451,0.46,8697.63,414.41
2021-11-19 ,6198,0.23,4769.34,218.28
2021-11-20 ,5961,0.23,4581.27,212.79
2021-11-21 ,5745,0.42,4389.97,204.37
2021-11-22 ,2581,1.35,1956.53,93.3
2021-11-23 ,6458,0.62,4904.81,236.69
2021-11-24 ,3367,0.21,2611.19,119.97
2021-11-25 ,12127,0.36,9310.73,437.93
2021-11-26 ,3599,0.29,2756.64,126.49
2021-11-27 ,10499,0.53,7941.89,386.19
2021-11-28 ,12684,0.56,9722.24,466.81
