,update_time,start_date,start_time,source_type,count,speed,distance,calorie
91,2021-08-04 15:39:05.312,2021-08-04 ,15:39:05.312,0,9727,1.1282918,7022.97,382.68
92,2021-08-05 15:14:37.227,2021-08-04 ,15:39:06.830,25,10176,0.5381684,7878.785,359.96167

93,2021-08-06 01:45:31.592,2021-08-05 ,00:52:52.368,-2,5277,0.46481124,3976.9287,191.87819
94,2021-08-05 15:14:35.812,2021-08-05 ,15:14:35.812,0,3033,1.1567618,2219.6,115.46999

96,2021-08-06 14:37:29.439,2021-08-06 ,00:15:02.971,-2,4095,0.6061274,3083.702,152.14894
97,2021-08-06 15:00:02.139,2021-08-06 ,15:00:02.139,0,3327,1.2854899,2467.4998,127.93999
99,2021-08-07 15:00:18.847,2021-08-06 ,19:50:04.826,-2,1314,0.2592398,1007.09344,48.4134

100,2021-08-07 15:00:09.661,2021-08-07 ,15:00:09.661,0,393,1.2347126,286.22,14.610001
101,2021-08-08 15:00:06.190,2021-08-07 ,15:00:11.594,25,1046,0.20346218,817.91797,38.12024
102,2021-08-08 11:57:03.291,2021-08-07 ,16:09:01.109,-2,6630,0.64955616,5022.9453,246.86952

103,2021-08-08 15:00:04.853,2021-08-08 ,15:00:04.853,0,5696,1.2684877,4272.16,219.30998
104,2021-08-08 15:00:06.229,2021-08-08 ,15:00:06.229,25,4982,0.44482538,3843.291,175.41751
105,2021-08-09 13:59:04.918,2021-08-08 ,22:02:01.599,-2,7677,0.61553645,5835.405,280.05493

106,2021-08-10 12:09:02.174,2021-08-09 ,15:29:36.323,-2,6091,0.45290148,4659.7905,218.22711
107,2021-08-09 15:36:00.205,2021-08-09 ,15:36:00.205,0,6311,1.3375527,4724.33,236.76
108,2021-08-10 15:00:06.133,2021-08-09 ,15:36:01.756,25,4478,0.2699301,3465.9023,157.92145
109,2021-08-09 15:36:01.786,2021-08-09 ,15:36:01.786,25,5402,0.3241326,4181.31,190.6701

110,2021-08-10 15:00:02.771,2021-08-10 ,15:00:02.771,0,3649,1.3711511,2769.3499,132.83
111,2021-08-11 14:45:03.854,2021-08-10 ,22:13:54.461,-2,6477,0.378104,4990.6396,228.22636

112,2021-08-11 15:00:01.582,2021-08-11 ,15:00:01.582,0,1780,1.364518,1355.33,63.199997
