com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
7191,4523009,90,0,2021-07-30 21:57:02.694,2021-07-08 15:00:02.187,60,480000,82,5377.011,283.16135,b86cc410-2b26-40af-a361-5b47332a91c7.extra_data.json,OvMFo+Qpk+,43410,com.sec.android.app.shealth,4479599,21720000,b86cc410-2b26-40af-a361-5b47332a91c7,1625788800000,
1201,801067,90,0,2021-07-30 21:57:02.804,2021-07-09 16:27:58.698,60,60000,14,911.89795,42.43431,ad415fc2-bfcd-40bb-919a-92d320986217.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,801067,22620000,ad415fc2-bfcd-40bb-919a-92d320986217,1625875200000,
2833,1790187,90,0,2021-07-30 21:57:03.191,2021-07-14 15:02:53.136,60,240000,32,2170.1694,102.258675,923e0434-cadb-4817-89d2-c9c74aceac6c.extra_data.json,OvMFo+Qpk+,15600,com.sec.android.app.shealth,1774587,28560000,923e0434-cadb-4817-89d2-c9c74aceac6c,1626307200000,
1539,1031911,90,0,2021-07-30 21:57:03.060,2021-07-12 15:00:00.464,60,51359,18,1167.2887,55.00039,6da90a6c-7f62-4671-a084-d526b1105d3f.extra_data.json,OvMFo+Qpk+,2400,com.sec.android.app.shealth,1029511,31560000,6da90a6c-7f62-4671-a084-d526b1105d3f,1626134400000,
0,0,,0,2021-07-03 02:08:28.094,2021-07-03 02:08:28.094,-1,0,0,0.0,0.0,eeeb3f06-0d27-4156-a626-f78f97510b8a.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,eeeb3f06-0d27-4156-a626-f78f97510b8a,1624924800000,
5111,3356204,90,0,2021-07-30 21:57:02.935,2021-07-10 15:00:00.467,60,420000,61,3817.3452,191.52155,6c1e9d3a-d016-4ee2-9cbb-49a4ed6dba04.extra_data.json,OvMFo+Qpk+,6800,com.sec.android.app.shealth,3349404,17220000,6c1e9d3a-d016-4ee2-9cbb-49a4ed6dba04,1625961600000,
2069,1371959,90,0,2021-07-30 21:57:03.642,2021-07-20 15:00:00.467,60,120000,24,1566.5835,74.49029,b6bbb48f-ad0d-40a1-9b9f-e2ef6840c46f.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,1371959,18480000,b6bbb48f-ad0d-40a1-9b9f-e2ef6840c46f,1626825600000,
4364,2897533,90,0,2021-07-30 21:57:02.635,2021-07-07 15:00:00.277,60,180000,53,3218.3596,168.08002,a955ced8-88a8-4c1f-b92f-7d85675ec360.extra_data.json,OvMFo+Qpk+,3600,com.sec.android.app.shealth,2893933,17400000,a955ced8-88a8-4c1f-b92f-7d85675ec360,1625702400000,
2013,1331909,90,0,2021-07-30 21:57:03.255,2021-07-15 15:00:00.516,60,120000,24,1529.7441,71.67207,76866e25-15e7-486b-b1b8-55e8ac66e75c.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,1331909,35400000,76866e25-15e7-486b-b1b8-55e8ac66e75c,1626393600000,
3955,2498780,90,0,2021-07-30 21:57:03.487,2021-07-18 15:00:00.354,60,360000,45,2993.0242,147.32404,6579c2db-b171-4b9b-9335-6c21c3ffc2eb.extra_data.json,OvMFo+Qpk+,17813,com.sec.android.app.shealth,2480967,25500000,6579c2db-b171-4b9b-9335-6c21c3ffc2eb,1626652800000,
