com.samsung.shealth.food_favorite,6170019,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,3,2021-07-14 05:38:01.652,2021-07-14 05:38:01.652,미나리숙주무침,120001,8c9373ac-fb16-4ddd-893d-26ba14070bc9,78.0,V57RQzDK0T,com.sec.android.app.shealth,c251701b-db7e-49d2-b3c6-0e8739de5541,34c4a45c-170a-4cf0-9749-4467369e7903,
0.0,2,2021-07-14 05:41:16.543,2021-07-14 05:41:16.543,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,71ce69c6-1a57-46b4-aea6-f922946107de,30ca09d2-f433-4597-9094-bf85f37025e3,
0.0,2,2021-07-14 05:40:13.091,2021-07-14 05:40:13.091,37f27673-b1d9-4d03-8e86-70ec7df1e189,,37f27673-b1d9-4d03-8e86-70ec7df1e189,0.0,V57RQzDK0T,com.sec.android.app.shealth,71158c8c-df17-4fc2-b7e0-5e3497b1c10f,e07621b5-eed7-4f9e-850f-78108f7eef36,
1.0,3,2021-07-08 02:56:15.038,2021-07-08 02:56:15.038,참치생야채비빔밥,120001,54f9d9f6-f168-447b-bf7b-d89f43a4e9f5,345.0,V57RQzDK0T,com.sec.android.app.shealth,7a37fd92-a2df-4df7-a093-707fe2d8f5af,c3dcb7d6-dbee-41ad-a280-bb9c02b5b38c,
0.0,2,2021-07-14 05:41:16.543,2021-07-14 05:41:16.543,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,0fe1fec6-4879-4412-a319-5a11d41b7d2d,e07621b5-eed7-4f9e-850f-78108f7eef36,
1.0,3,2021-07-19 02:56:20.932,2021-07-19 02:56:20.932,무말랭이무침,120001,93680051-1e58-4453-ae64-98dcf39bae84,78.0,V57RQzDK0T,com.sec.android.app.shealth,bfea90ca-2e82-4f6b-b778-14d7444af2dd,46060e7d-d002-4947-83ad-0eccd5c28a40,
0.0,2,2021-07-14 05:40:13.090,2021-07-14 05:40:13.090,37f27673-b1d9-4d03-8e86-70ec7df1e189,,37f27673-b1d9-4d03-8e86-70ec7df1e189,0.0,V57RQzDK0T,com.sec.android.app.shealth,dee26263-6748-4b2e-923b-09f47ece8278,bf751eca-754c-48df-a742-e26da4f50874,
0.0,2,2021-07-14 05:41:16.542,2021-07-14 05:41:16.542,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,cea00d1f-4edf-4e1d-affa-1d9634302595,bf751eca-754c-48df-a742-e26da4f50874,
1.0,3,2021-07-19 02:55:49.455,2021-07-19 02:55:49.455,돈사태장조림,120001,ecbf24c8-8a68-4881-84b4-286956373c8b,310.0,V57RQzDK0T,com.sec.android.app.shealth,0fd196d0-8646-4d3d-8f9d-1b4e96f7e1d2,4192581a-889b-48e0-a6e5-d1c66dd92975,
1.0,3,2021-07-08 03:00:00.836,2021-07-08 03:00:00.836,아이스경단,120001,70a846bf-1a63-414a-b1b8-0ebd707345f3,45.0,V57RQzDK0T,com.sec.android.app.shealth,f719c4db-ce10-486e-91fb-04e92c34019c,9a637255-f18a-4685-8ec4-34f7e22d2cb9,
