com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-08-21 15:00:00.000,,2599999,,2021-08-27 15:00:03.967,2021-08-23 16:21:43.868,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7911}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-21 15:00:00.000,93b0d5a2-1149-40dd-9cd4-8628ffc36637,1,
1205,,1002,,bccacf00-a6ff-86f6-5847-3dd6bf329c4a,2021-10-12 04:51:51.699,2021-08-08 02:05:10.180,,,1205,UTC+0900,5.3728533,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-08-08 02:05:06.000,d4b7b9a1-e084-429e-8fac-d31e16467ac6,0,
,2021-07-31 15:00:00.000,,100003,,2021-08-06 15:00:47.805,2021-08-06 15:00:47.805,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,ee10942d-9929-44fc-a786-f5057794664f,1,
1202,,1001,,83f64793-321c-4b5c-bf6d-db8c34105f7f,2021-09-04 04:35:43.884,2021-09-04 04:35:43.884,,,1202,UTC+0900,3.1037564,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2021-09-04 04:35:43.830,aab7c8db-eef7-40bb-8ccf-2ed35c414bca,1,
1205,,0,,5fc106de-5290-3f39-0328-f3c355d5ef84,2021-09-04 03:26:41.570,2021-09-04 03:26:41.570,,,1205,UTC+0900,58.523952,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-09-04 03:26:39.000,5060e99b-a144-4a14-acb6-710cf92dac57,1,
,2021-07-31 15:00:00.000,,100003,,2021-08-04 15:39:10.294,2021-08-04 15:39:10.294,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,6f27a6c6-b55a-4934-9fb6-b5af8ce84658,1,
1205,,1002,,7616a5a1-b3e5-9fbd-027c-08348fbd4e3b,2021-10-12 04:51:51.699,2021-08-09 07:42:39.517,,,1205,UTC+0900,48.04571,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-08-09 07:42:37.000,5ea6089c-df7a-4439-adc6-5fa7ab245f0b,0,
,2021-08-07 15:00:00.000,,100003,,2021-09-03 02:56:02.989,2021-08-08 11:06:29.011,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6630}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-07 15:00:00.000,d659a7bc-ebd7-4ac4-94f7-6b23c51a86b2,1,
5001,,1001,,83f64793-321c-4b5c-bf6d-db8c34105f7f,2021-09-04 04:35:43.895,2021-09-04 04:35:43.895,,,5001,UTC+0900,1000,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2021-09-04 04:35:43.830,43c751e2-af5d-409b-b2d2-31975e76cd09,0,
,2021-09-03 15:00:00.000,,100003,,2021-09-30 05:27:15.916,2021-09-04 09:46:21.548,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6198}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,7f3980d1-aa60-4b8b-95f5-8388573afc7c,1,
,2021-08-15 15:00:00.000,,100003,,2021-09-11 14:55:41.386,2021-08-16 06:32:43.616,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8431}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-15 15:00:00.000,b1865de1-ae05-4ecc-a5ff-d19abd37815a,1,
