com.samsung.shealth.step_daily_trend,1144003,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
0.865716,1626566400000,com.sec.android.app.shealth,25,23b86b7e-7971-4b20-9532-c8924c2c749c.binning_data,com.sec.android.app.shealth,-2,0.669827,VfS0qUERdZ,23b86b7e-7971-4b20-9532-c8924c2c749c,13.501077,2021. 07. 24. 오전 10:47:09,2021. 07. 24. 오전 10:47:09,
0.991908,1626652800000,com.sec.android.app.shealth,13545,44349c26-d68b-4485-8d49-74c16d921a5c.binning_data,com.sec.android.app.shealth,-2,460.933247,VfS0qUERdZ,44349c26-d68b-4485-8d49-74c16d921a5c,9017.080359,2021. 07. 24. 오전 10:47:09,2021. 07. 24. 오전 10:47:09,
0.834230,1626739200000,com.sec.android.app.shealth,438,7fe61a30-af18-4fbb-87c5-b326efc591f1.binning_data,com.sec.android.app.shealth,-2,15.711185,VfS0qUERdZ,7fe61a30-af18-4fbb-87c5-b326efc591f1,290.030000,2021. 07. 24. 오전 10:47:09,2021. 07. 24. 오전 10:47:09,
1.368868,1626566400000,com.sec.android.app.shealth,25,22fe79d2-6f23-4493-82d0-b850e33366cd.binning_data,com.sec.android.app.shealth,0,0.669827,m5awt1XVZi,22fe79d2-6f23-4493-82d0-b850e33366cd,13.501077,2021. 07. 24. 오전 10:47:18,2021. 07. 24. 오전 10:47:18,
1.359748,1626652800000,com.sec.android.app.shealth,13545,9c5845a5-6221-4650-9581-6cae8f940927.binning_data,com.sec.android.app.shealth,0,460.933247,m5awt1XVZi,9c5845a5-6221-4650-9581-6cae8f940927,9017.080359,2021. 07. 24. 오전 10:47:19,2021. 07. 24. 오전 10:47:19,
1.192283,1626739200000,com.sec.android.app.shealth,438,6047f9e0-7ef7-4c1d-9ed9-2cab00019119.binning_data,com.sec.android.app.shealth,0,15.711185,m5awt1XVZi,6047f9e0-7ef7-4c1d-9ed9-2cab00019119,290.030000,2021. 07. 24. 오전 10:47:19,2021. 07. 24. 오전 10:47:19,
1.313770,1626825600000,com.sec.android.app.shealth,61,ae93958e-a9a2-4380-8879-d74563a789cd.binning_data,com.sec.android.app.shealth,-2,0.000000,VfS0qUERdZ,ae93958e-a9a2-4380-8879-d74563a789cd,12.910497,2021. 07. 27. 오전 11:24:08,2021. 07. 27. 오전 11:24:08,
0.789446,1627171200000,com.sec.android.app.shealth,23,2282be27-9e02-49e2-b672-1fa7abf059f0.binning_data,com.sec.android.app.shealth,-2,0.892306,VfS0qUERdZ,2282be27-9e02-49e2-b672-1fa7abf059f0,16.270000,2021. 07. 31. 오후 4:05:09,2021. 07. 31. 오후 4:05:09,
0.617915,1627257600000,com.sec.android.app.shealth,1103,08492d1e-5be6-4d6c-9042-c0018defd853.binning_data,com.sec.android.app.shealth,-2,41.451167,VfS0qUERdZ,08492d1e-5be6-4d6c-9042-c0018defd853,696.642052,2021. 07. 31. 오후 4:05:09,2021. 07. 31. 오후 4:05:15,
0.621744,1627689600000,com.sec.android.app.shealth,454,57f2c3e7-7677-41e1-b789-f5c6bb6debf4.binning_data,com.sec.android.app.shealth,-2,15.353204,VfS0qUERdZ,57f2c3e7-7677-41e1-b789-f5c6bb6debf4,297.684564,2021. 07. 31. 오후 4:05:14,2021. 07. 31. 오후 4:05:22,
