com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.321502,com.sec.android.app.shealth,25,,32400000,2021. 07. 03. 오후 2:30:00,0.805851,jj7jIQhOji,,2021. 07. 03. 오후 2:30:59,417c2eef-0751-c963-c952-b128796d8a8d,19.290100,2021. 07. 03. 오후 2:30:59,2021. 07. 03. 오후 2:31:00,
1.319926,com.sec.android.app.shealth,103,,32400000,2021. 07. 03. 오후 2:31:00,3.325493,jj7jIQhOji,,2021. 07. 03. 오후 2:31:59,981402f5-0daa-60bc-7428-005b3be71178,79.195557,2021. 07. 03. 오후 2:31:59,2021. 07. 03. 오후 2:32:00,
0.423311,com.sec.android.app.shealth,34,,32400000,2021. 07. 03. 오후 2:32:00,1.112137,jj7jIQhOji,,2021. 07. 03. 오후 2:32:59,5ef07f1f-f98e-597f-6c66-599dae7bc938,25.398682,2021. 07. 03. 오후 2:32:59,2021. 07. 03. 오후 2:33:00,
0.433514,com.sec.android.app.shealth,34,,32400000,2021. 07. 03. 오후 2:33:00,1.099094,jj7jIQhOji,,2021. 07. 03. 오후 2:33:59,30a432a1-7771-58db-efbc-fd6cd48dec7b,26.010864,2021. 07. 03. 오후 2:33:59,2021. 07. 03. 오후 2:35:00,
1.129069,com.sec.android.app.shealth,89,,32400000,2021. 07. 03. 오후 2:35:00,2.885330,jj7jIQhOji,,2021. 07. 03. 오후 2:35:59,85572d01-98b4-cf89-e67d-4c531d382d17,67.744141,2021. 07. 03. 오후 2:35:59,2021. 07. 03. 오후 2:36:00,
0.419250,com.sec.android.app.shealth,33,,32400000,2021. 07. 03. 오후 2:36:00,1.068184,jj7jIQhOji,,2021. 07. 03. 오후 2:36:59,c4cb5767-f94d-38e1-4981-e0e990684ab8,25.155029,2021. 07. 03. 오후 2:36:59,2021. 07. 03. 오후 2:37:00,
1.404897,com.sec.android.app.shealth,108,,32400000,2021. 07. 03. 오후 2:38:00,3.472141,jj7jIQhOji,,2021. 07. 03. 오후 2:38:59,5a700c47-9117-d80c-d348-5ab5dce82443,84.293823,2021. 07. 03. 오후 2:38:59,2021. 07. 03. 오후 2:39:00,
1.452181,com.sec.android.app.shealth,112,,32400000,2021. 07. 03. 오후 2:39:00,3.604069,jj7jIQhOji,,2021. 07. 03. 오후 2:39:59,c728c3a3-6ac7-c55e-738a-128029e84f42,87.130859,2021. 07. 03. 오후 2:39:59,2021. 07. 03. 오후 2:40:00,
0.168433,com.sec.android.app.shealth,13,,32400000,2021. 07. 03. 오후 2:40:00,0.418182,jj7jIQhOji,,2021. 07. 03. 오후 2:40:59,9c373f68-2c80-9570-e179-bffd0f765795,10.105957,2021. 07. 03. 오후 2:40:59,2021. 07. 03. 오후 2:41:00,
0.266345,com.sec.android.app.shealth,20,,32400000,2021. 07. 03. 오후 2:59:00,0.641792,jj7jIQhOji,,2021. 07. 03. 오후 2:59:59,31f09bba-df0a-a9f8-feae-b457db6bff94,15.980713,2021. 07. 03. 오후 2:59:59,2021. 07. 03. 오후 3:00:00,
0.491742,com.sec.android.app.shealth,37,,32400000,2021. 07. 03. 오후 3:00:00,1.180546,jj7jIQhOji,,2021. 07. 03. 오후 3:00:59,2b5df948-83d6-7f12-f07d-a6b146fccce3,29.504517,2021. 07. 03. 오후 3:00:59,2021. 07. 03. 오후 3:01:00,
0.134823,com.sec.android.app.shealth,10,,32400000,2021. 07. 03. 오후 8:21:00,0.318363,jj7jIQhOji,,2021. 07. 03. 오후 8:21:59,b60fa9d1-eca4-fac6-40e9-be431325c327,8.089355,2021. 07. 03. 오후 8:21:59,2021. 07. 03. 오후 8:22:00,
0.409857,com.sec.android.app.shealth,31,,32400000,2021. 07. 03. 오후 8:23:00,1.029572,jj7jIQhOji,,2021. 07. 03. 오후 8:23:59,916ea796-615f-4c44-b44d-cdf21ebcf9c8,24.591431,2021. 07. 03. 오후 8:23:59,2021. 07. 03. 오후 8:24:00,
0.405756,com.sec.android.app.shealth,32,,32400000,2021. 07. 03. 오후 8:24:00,1.039642,jj7jIQhOji,,2021. 07. 03. 오후 8:24:59,783e0e18-6432-b034-114e-a69b7f2d4dae,24.345337,2021. 07. 03. 오후 8:24:59,2021. 07. 03. 오후 8:25:00,
0.142837,com.sec.android.app.shealth,11,,32400000,2021. 07. 03. 오후 8:25:00,0.355110,jj7jIQhOji,,2021. 07. 03. 오후 8:25:59,79e4a801-afe1-3aa6-1181-bd0ef8f370e7,8.570190,2021. 07. 03. 오후 8:25:59,2021. 07. 03. 오후 8:26:00,
0.354220,com.sec.android.app.shealth,28,,32400000,2021. 07. 03. 오후 8:26:00,0.909847,jj7jIQhOji,,2021. 07. 03. 오후 8:26:59,5dc2211b-e0dc-55d8-a981-fbd41c920714,21.253174,2021. 07. 03. 오후 8:26:59,2021. 07. 03. 오후 8:27:00,
0.191827,com.sec.android.app.shealth,15,,32400000,2021. 07. 03. 오후 8:41:00,0.488201,jj7jIQhOji,,2021. 07. 03. 오후 8:41:59,56fabd4f-0dd7-cfc5-dbd9-09f8c140726f,11.509644,2021. 07. 03. 오후 8:41:59,2021. 07. 03. 오후 8:44:00,
0.645289,com.sec.android.app.shealth,1,,32400000,2021. 07. 03. 오후 12:59:00,0.000000,m5awt1XVZi,,2021. 07. 03. 오후 1:00:00,16252847-0000-0000-0000-252847400000,0.360866,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.904678,com.sec.android.app.shealth,16,,32400000,2021. 07. 04. 오전 7:24:00,0.580324,m5awt1XVZi,,2021. 07. 04. 오전 7:25:00,16253510-0000-0000-0000-253510400000,11.200000,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.854014,com.sec.android.app.shealth,11,,32400000,2021. 07. 04. 오후 10:25:00,0.420424,m5awt1XVZi,,2021. 07. 04. 오후 10:26:00,16254051-0000-0000-0000-254051000000,8.360000,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.528391,com.sec.android.app.shealth,8,,32400000,2021. 07. 05. 오전 9:55:00,0.325179,m5awt1XVZi,,2021. 07. 05. 오전 9:56:00,16254465-0000-0000-0000-254465000000,4.900000,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.484988,com.sec.android.app.shealth,88,,32400000,2021. 07. 05. 오전 9:57:00,3.226582,m5awt1XVZi,,2021. 07. 05. 오전 9:58:00,16254466-0000-0000-0000-254466200000,71.563080,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.467149,com.sec.android.app.shealth,111,,32400000,2021. 07. 05. 오전 9:58:00,3.998441,m5awt1XVZi,,2021. 07. 05. 오전 9:59:00,16254466-0000-0000-0000-254466800000,88.108139,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.511010,com.sec.android.app.shealth,65,,32400000,2021. 07. 05. 오전 9:59:00,2.314250,m5awt1XVZi,,2021. 07. 05. 오전 10:00:00,16254467-0000-0000-0000-254467400000,51.817722,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.464912,com.sec.android.app.shealth,113,,32400000,2021. 07. 05. 오전 10:00:00,3.994077,m5awt1XVZi,,2021. 07. 05. 오전 10:01:00,16254468-0000-0000-0000-254468000000,88.087898,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.374548,com.sec.android.app.shealth,107,,32400000,2021. 07. 05. 오전 10:01:00,3.817868,m5awt1XVZi,,2021. 07. 05. 오전 10:02:00,16254468-0000-0000-0000-254468600000,82.670639,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.456261,com.sec.android.app.shealth,96,,32400000,2021. 07. 05. 오전 10:02:00,3.380628,m5awt1XVZi,,2021. 07. 05. 오전 10:03:00,16254469-0000-0000-0000-254469200000,74.401596,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.455973,com.sec.android.app.shealth,111,,32400000,2021. 07. 05. 오전 10:03:00,3.976647,m5awt1XVZi,,2021. 07. 05. 오전 10:04:00,16254469-0000-0000-0000-254469800000,87.628258,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.516066,com.sec.android.app.shealth,113,,32400000,2021. 07. 05. 오전 10:04:00,4.093828,m5awt1XVZi,,2021. 07. 05. 오전 10:05:00,16254470-0000-0000-0000-254470400000,90.971977,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.523176,com.sec.android.app.shealth,115,,32400000,2021. 07. 05. 오전 10:05:00,4.107693,m5awt1XVZi,,2021. 07. 05. 오전 10:06:00,16254471-0000-0000-0000-254471000000,91.720657,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.480064,com.sec.android.app.shealth,113,,32400000,2021. 07. 05. 오전 10:06:00,3.956564,m5awt1XVZi,,2021. 07. 05. 오전 10:07:00,16254471-0000-0000-0000-254471600000,88.340630,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
