com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1626048000000,1.500000,2021. 07. 20. 오전 9:41:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,43,d8c324e0-bf8b-4456-bae8-1a98d71e65e6.binning_data,71000,d8c324e0-bf8b-4456-bae8-1a98d71e65e6.achievement,0,1.342882,6000,d8c324e0-bf8b-4456-bae8-1a98d71e65e6,m5awt1XVZi,29.750000,2021. 07. 20. 오전 9:41:11,0,43,
1626048000000,1.500000,2021. 07. 20. 오전 9:41:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,43,68c8b3c2-b658-4012-a9b7-e4f48a08c61b.binning_data,19833,68c8b3c2-b658-4012-a9b7-e4f48a08c61b.achievement,0,1.342882,6000,68c8b3c2-b658-4012-a9b7-e4f48a08c61b,VfS0qUERdZ,29.750000,2021. 07. 20. 오전 9:41:11,0,43,
1626134400000,1.500000,2021. 07. 20. 오전 9:41:12,com.sec.android.app.shealth,,com.sec.android.app.shealth,16993,c05eea01-7e07-4ee5-bd25-7677431c82b7.binning_data,16653000,c05eea01-7e07-4ee5-bd25-7677431c82b7.achievement,0,52.960327,6000,c05eea01-7e07-4ee5-bd25-7677431c82b7,m5awt1XVZi,1173.275024,2021. 07. 20. 오전 9:41:12,0,16993,
1626134400000,1.500000,2021. 07. 20. 오전 9:41:13,com.sec.android.app.shealth,,com.sec.android.app.shealth,16993,a4caae7f-5c76-4a13-acf3-eb4fe8dbe547.binning_data,782183,a4caae7f-5c76-4a13-acf3-eb4fe8dbe547.achievement,0,52.960327,6000,a4caae7f-5c76-4a13-acf3-eb4fe8dbe547,VfS0qUERdZ,1173.275024,2021. 07. 20. 오전 9:41:13,0,16993,
1626220800000,1.500000,2021. 07. 20. 오전 9:41:13,com.sec.android.app.shealth,,com.sec.android.app.shealth,226,750a39b3-88fd-4ada-8ce4-c2c57957ce3f.binning_data,210000,750a39b3-88fd-4ada-8ce4-c2c57957ce3f.achievement,0,7.612674,6000,750a39b3-88fd-4ada-8ce4-c2c57957ce3f,m5awt1XVZi,168.649994,2021. 07. 20. 오전 9:41:13,0,226,
1626220800000,0.860347,2021. 07. 31. 오후 4:05:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,1567,e1840300-a8b2-4848-ab4d-405656180bb2.binning_data,1189266,e1840300-a8b2-4848-ab4d-405656180bb2.achievement,0,54.044220,6000,e1840300-a8b2-4848-ab4d-405656180bb2,VfS0qUERdZ,1023.181946,2021. 07. 20. 오전 9:41:14,0,1567,
1626566400000,0.865716,2021. 07. 24. 오전 10:47:09,com.sec.android.app.shealth,,com.sec.android.app.shealth,25,016836bc-294a-477a-8ab5-e22a942875c0.binning_data,15595,016836bc-294a-477a-8ab5-e22a942875c0.achievement,0,0.669827,6000,016836bc-294a-477a-8ab5-e22a942875c0,VfS0qUERdZ,13.501077,2021. 07. 24. 오전 10:47:09,0,25,
1626652800000,0.991908,2021. 07. 24. 오전 10:47:09,com.sec.android.app.shealth,,com.sec.android.app.shealth,13545,7ff42d0b-c590-4b69-964a-373d53a2a5bc.binning_data,9090637,7ff42d0b-c590-4b69-964a-373d53a2a5bc.achievement,0,460.933258,6000,7ff42d0b-c590-4b69-964a-373d53a2a5bc,VfS0qUERdZ,9017.080078,2021. 07. 24. 오전 10:47:09,0,13545,
1626739200000,0.834230,2021. 07. 24. 오전 10:47:09,com.sec.android.app.shealth,,com.sec.android.app.shealth,438,67d7b0e0-6daf-4e3f-82b5-ef729465ae19.binning_data,347661,67d7b0e0-6daf-4e3f-82b5-ef729465ae19.achievement,0,15.711185,6000,67d7b0e0-6daf-4e3f-82b5-ef729465ae19,VfS0qUERdZ,290.029999,2021. 07. 24. 오전 10:47:09,0,438,
1626566400000,1.368868,2021. 07. 24. 오전 10:47:18,com.sec.android.app.shealth,,com.sec.android.app.shealth,25,c4045383-0845-4eb2-ada0-348013eca8bd.binning_data,14000,c4045383-0845-4eb2-ada0-348013eca8bd.achievement,0,0.669827,6000,c4045383-0845-4eb2-ada0-348013eca8bd,m5awt1XVZi,13.501077,2021. 07. 24. 오전 10:47:18,0,25,
