com.samsung.shealth.activity.day_summary,1144003,2
day_time,goal,target,pkg_name,update_time,walk_time,longest_idle_time,active_time,longest_active_time,calorie,deviceuuid,run_time,step_count,extra_data,datauuid,distance,create_time,others_time,score
1638144000000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:12:16,0,-1,0,0,0.000000,m5awt1XVZi,0,0,ca3aab20-ac07-4f3e-9c11-e4e5e2fb576a.extra_data,ca3aab20-ac07-4f3e-9c11-e4e5e2fb576a,0.000000,2021. 12. 04. 오전 10:12:16,0,0,
1638230400000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:12:16,0,-1,0,0,0.000000,m5awt1XVZi,0,0,d2a16646-05ba-445e-97f7-3c519634297b.extra_data,d2a16646-05ba-445e-97f7-3c519634297b,0.000000,2021. 12. 04. 오전 10:12:16,0,0,
1638316800000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:12:16,0,-1,0,0,0.000000,m5awt1XVZi,0,0,ad3ab9e5-ceb5-4158-b95e-c85e73dc7e42.extra_data,ad3ab9e5-ceb5-4158-b95e-c85e73dc7e42,0.000000,2021. 12. 04. 오전 10:12:16,0,0,
1638403200000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:12:16,0,-1,0,0,0.000000,m5awt1XVZi,0,0,b69cc9b2-05ca-42ba-9592-dda9e57b2843.extra_data,b69cc9b2-05ca-42ba-9592-dda9e57b2843,0.000000,2021. 12. 04. 오전 10:12:16,0,0,
1638489600000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:12:16,0,-1,0,0,0.000000,m5awt1XVZi,0,0,45330f44-5bdf-487c-aecb-0cfee1d4cedc.extra_data,45330f44-5bdf-487c-aecb-0cfee1d4cedc,0.000000,2021. 12. 04. 오전 10:12:16,0,0,
1636243200000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,8700fda0-fc12-44f3-b6d1-bcdf0487821b.extra_data,8700fda0-fc12-44f3-b6d1-bcdf0487821b,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636329600000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,9c518a9c-b37a-43f5-898c-d3b07e84fb62.extra_data,9c518a9c-b37a-43f5-898c-d3b07e84fb62,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636416000000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,0a501273-efa3-43b9-b8b3-2970052db277.extra_data,0a501273-efa3-43b9-b8b3-2970052db277,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636502400000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,77b50d97-5d95-468f-ad52-e5cdf2fd8407.extra_data,77b50d97-5d95-468f-ad52-e5cdf2fd8407,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636588800000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,1bb2957a-f9b5-425d-acb2-d2a3ab86f280.extra_data,1bb2957a-f9b5-425d-acb2-d2a3ab86f280,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636675200000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,8f92b426-e317-4bda-b1d0-a080e1378e00.extra_data,8f92b426-e317-4bda-b1d0-a080e1378e00,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636761600000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,73b6c19b-f534-4863-bc82-9c1399ad0199.extra_data,73b6c19b-f534-4863-bc82-9c1399ad0199,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636848000000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,aed23ebd-fbb9-4683-b7ba-5c46ff15ac1b.extra_data,aed23ebd-fbb9-4683-b7ba-5c46ff15ac1b,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1636934400000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,d9ea0186-3f04-4432-8833-54fe4e394ffd.extra_data,d9ea0186-3f04-4432-8833-54fe4e394ffd,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1637020800000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,657f4261-2cc2-4ae9-9c61-4cbc82fcfe36.extra_data,657f4261-2cc2-4ae9-9c61-4cbc82fcfe36,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1637107200000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,38ded161-360b-426c-8440-d17e6c06c559.extra_data,38ded161-360b-426c-8440-d17e6c06c559,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1637193600000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,fc933752-ab56-4765-8ac2-0dd14e81b33c.extra_data,fc933752-ab56-4765-8ac2-0dd14e81b33c,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1637280000000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,0ba554cd-0d46-43eb-af80-f33a8cd6d8a6.extra_data,0ba554cd-0d46-43eb-af80-f33a8cd6d8a6,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1637366400000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,f37a8089-ccc5-4e08-8930-67a81e5f8261.extra_data,f37a8089-ccc5-4e08-8930-67a81e5f8261,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1637452800000,-1,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:14:41,0,-1,0,0,0.000000,m5awt1XVZi,0,0,4be5030f-b81b-44e2-94d0-e9e6be2f495d.extra_data,4be5030f-b81b-44e2-94d0-e9e6be2f495d,0.000000,2021. 12. 04. 오전 10:14:41,0,0,
1638576000000,60,,com.sec.android.app.shealth,2021. 12. 04. 오전 10:22:20,278109,49319999,278109,60000,13.427744,m5awt1XVZi,0,420,5b277c49-9e45-46a1-a555-9b120a64bb96.extra_data,5b277c49-9e45-46a1-a555-9b120a64bb96,249.940018,2021. 12. 04. 오전 10:22:20,0,0,

