duration,version_code,run_step,walk_step,start_date,start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
58100,4,0,90,2021-10-26 ,10:53:00.000,,,2021-10-26 10:54:15.873,2021-10-26 10:54:15.873,90,1.1388888,66.17,3.57,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:54:00.000,e9fe5c73-0f7a-491f-a87e-1ad923c5456b
60000,4,0,96,2021-10-26 ,10:54:00.000,,,2021-10-26 10:55:01.215,2021-10-26 10:54:15.909,96,1.1801667,70.81,3.8399994,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:55:00.000,cb0cbebf-1779-4d6e-a7aa-6e87e79e997c
57749,4,0,95,2021-10-26 ,10:55:00.000,,,2021-10-26 11:00:41.917,2021-10-26 10:55:01.248,95,1.2225108,70.6,3.8,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:56:00.000,83ab6f95-b938-4e73-a2e6-575821a23890
60000,4,0,96,2021-10-26 ,10:56:00.000,,,2021-10-26 11:00:41.948,2021-10-26 11:00:41.948,96,1.1771666,70.63,3.84,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:57:00.000,15ae89e7-b5b0-4f3a-862c-444433fdd927
59180,4,0,92,2021-10-26 ,10:57:00.000,,,2021-10-26 11:00:41.985,2021-10-26 11:00:41.985,92,1.1388888,67.4,3.68,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:58:00.000,c89b4344-e47a-4830-9951-10b8e0b047f8
41940,4,0,64,2021-10-26 ,10:58:00.000,,,2021-10-26 11:00:42.028,2021-10-26 11:00:42.028,64,1.111111,46.6,2.5,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:59:00.000,0d85dbec-bab7-417c-a57a-895f3d17e622
4724,4,0,6,2021-10-26 ,10:59:00.000,,,2021-10-26 11:00:42.094,2021-10-26 11:00:42.094,6,0.88888896,4.2,0.24,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 11:00:00.000,c0904bc9-bdba-4f35-bf99-9d5ff32d4176
,,0,11,2021-10-26 ,12:48:00.000,,,2021-10-26 12:51:01.000,2021-10-26 12:48:59.000,11,0.13450521,8.0703125,0.39569092,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-26 12:48:59.000,ec04e820-95a1-f959-2186-6d76b17c3c97
,,0,10,2021-10-26 ,13:06:00.000,,,2021-10-26 13:13:00.000,2021-10-26 13:06:59.000,10,0.12486979,7.4921875,0.3534546,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-26 13:06:59.000,8c898ae2-f510-e8d7-7de2-0ef2f5579fd5
,,0,6,2021-10-26 ,21:46:00.000,,,2021-10-26 21:47:45.000,2021-10-26 21:46:59.000,6,0.07695313,4.6171875,0.21069336,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-26 21:46:59.000,efe01ed8-6a62-f481-b7d9-4d01869f0a5e
