com.samsung.shealth.food_frequent,6196009,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,0.0,1.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,f22874b9-d379-4026-a719-926895055439,2c7d4ed2-cb76-42ab-a172-506f4f96e1d5,0.0,
0.0,2021-09-11 02:38:56.526,2021-09-11 02:38:56.526,0.0,0.0,1.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,52976742-aaf7-43fd-85b5-831cfe705cae,4257a9b0-145c-4f80-a464-a95655f0f6af,0.0,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,1.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,c2b397c0-61ae-421d-a2c6-f7ec7cb9b7df,f2f13bb2-8d27-4e0a-a15b-e52e19d902ce,2.0,
0.79,2021-07-03 06:13:35.397,2021-07-03 06:13:35.397,0.79,0.79,0.79,ipBsY8J8JM,com.sec.android.app.shealth,0.79,7c9a752d-1019-4681-b115-d21d041b2b9e,da3e62d2-f766-417c-99b0-cfebacda2676,0.79,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,1.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,7cc72bc0-28b5-4ad1-a2f3-02320a1f8202,66063df6-6053-42bb-a0d0-7a10b9f62172,0.0,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,0.0,1.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,6a6b942d-2ad0-471b-9dd2-efc1567dd687,4d97adf0-b567-47d1-8ccd-87d76b25c412,0.0,
0.0,2021-09-11 02:38:56.526,2021-09-11 02:38:56.526,0.0,0.0,1.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,d576a65b-0fe1-4cbf-ad26-0a2dffefc77d,dad0728b-2458-423c-a3cc-1b8da72192ed,0.0,
0.0,2021-09-13 08:04:41.026,2021-09-13 08:04:41.026,0.0,0.0,1.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,2383c895-a092-4e77-aea9-6804db2811ee,c648c6a7-2a6f-4cff-ad00-e25fefe75245,0.0,
0.0,2021-09-13 08:05:37.667,2021-09-13 08:05:37.667,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,848e6c20-ce9f-4962-b9d3-6b6ab9b436d9,ee5c2d7d-9113-47ae-83c4-486fdf671516,1.0,
0.0,2021-09-13 08:04:17.902,2021-09-13 08:04:17.902,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,35d7bafb-b3b6-4b09-92cd-2b00c1d634d0,7a4e2d5a-46c5-4d1d-844b-be0af68beea0,1.0,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,125b923b-16ba-42cf-a920-61893b898280,67f0a8d7-0f8f-41c7-b32a-d1ccf73d0337,1.0,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,1.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,95e9e8b2-6983-440c-b4b1-611b44c17218,0b3a649f-462b-41dc-8253-678b01347579,0.0,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,3ebb331e-58be-47cb-8f88-16781b590b5f,8f33c3d8-1e5d-4658-b397-9fed3a3798ea,1.0,
0.0,2021-09-13 08:04:17.894,2021-09-13 08:04:17.894,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,db880d07-7e61-4f06-8f23-4b4818a15fc6,32e951ad-9056-4867-820d-e9a0a387663b,1.0,
