com.samsung.shealth.exercise.weather,6201005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2017-02-14 04:22:47.308,36.344353,,서. 270.0,화창,0,0,AccuWeather,2017-02-14 04:22:47.312,2017-02-14 04:22:47.312,1,127.416145,40.0,39,UTC+0900,wakAfCXJCw,03b4b9cb-26bf-4ee3-a6b5-40ac887e5d93,com.sec.android.app.shealth,mi/h,0,3.5,1,68db342d-8670-4003-bf71-5ec8f129ab2b,
0.0,0,2017-02-18 00:03:30.838,36.358,,남서. 225.0,화창,0,0,AccuWeather,2017-02-18 00:03:30.843,2017-02-18 00:03:30.843,1,127.40125,25.0,62,UTC+0900,wakAfCXJCw,d97eb9af-bf61-4ebe-8d5a-41279dc9a47a,com.sec.android.app.shealth,mi/h,0,3.9,1,6b213376-1bed-4bc7-a6a3-3d738e09323c,
0.0,0,2017-02-19 01:24:05.746,36.343987,,남동. 135.0,일부 화창,0,0,AccuWeather,2017-02-19 01:24:05.748,2017-02-19 01:24:05.748,1,127.41385,33.0,57,UTC+0900,wakAfCXJCw,fa1721d9-51b1-4477-a55f-ae0ff636c521,com.sec.android.app.shealth,mi/h,0,1.2,4,fcd92352-96a7-4cd7-8125-2e908de9ed4a,
0.0,0,2016-12-27 03:09:30.663,36.33792,,북서. 315.0,화창,0,0,AccuWeather,2016-12-27 03:09:30.668,2016-12-27 03:09:30.668,1,127.41627,36.0,65,UTC+0900,wakAfCXJCw,85370187-4508-467f-8371-b51179cdb23a,com.sec.android.app.shealth,mi/h,0,17.8,1,6592c896-af0c-42c7-a92c-85b23a01ae29,
0.0,0,2016-12-24 02:24:31.174,36.333237,,북북서. 338.0,일부 화창,0,0,AccuWeather,2016-12-24 02:24:31.179,2016-12-24 02:24:31.179,1,127.43629,31.0,72,UTC+0900,wakAfCXJCw,b39ccfcf-89d9-46ab-990d-6791afff6851,com.sec.android.app.shealth,mi/h,0,3.6,4,3a9ddee2-8fec-472b-a379-516b4c6841c8,
0.0,0,2017-02-22 02:51:25.351,36.33911,,북서. 315.0,비,0,0,AccuWeather,2017-02-22 02:51:25.354,2017-02-22 02:51:25.354,1,127.4186,37.0,95,UTC+0900,wakAfCXJCw,1fdce656-cce6-489d-930e-7534171d7825,com.sec.android.app.shealth,mi/h,0,2.7,7,3d2af3e4-d216-4733-803a-916386fde895,
0.0,0,2016-12-28 04:03:38.760,36.342823,,남동. 135.0,화창,0,0,AccuWeather,2016-12-28 04:03:38.768,2016-12-28 04:03:38.768,1,127.43562,32.0,50,UTC+0900,wakAfCXJCw,4d914bf5-f0e3-4ade-96ce-ebe4c8758c57,com.sec.android.app.shealth,mi/h,0,3.5,1,37c90f76-4e58-4686-b483-ef1788d21db5,
0.0,0,2017-02-24 02:32:44.539,36.340073,,북북동. 23.0,화창,0,0,AccuWeather,2017-02-24 02:32:44.542,2017-02-24 02:32:44.542,1,127.413475,35.0,33,UTC+0900,wakAfCXJCw,ecb923f9-e790-4889-bb08-833d5572aa76,com.sec.android.app.shealth,mi/h,0,1.0,1,b8608269-6d0e-46a1-8249-4fa469c7f3f6,
0.0,0,2017-01-01 04:12:46.121,36.34092,,북. 0.0,일부 화창,0,0,AccuWeather,2017-01-01 04:12:46.129,2017-01-01 04:12:46.129,1,127.42115,44.0,71,UTC+0900,wakAfCXJCw,299992ca-88e5-4635-834f-9691761d21d9,com.sec.android.app.shealth,mi/h,0,1.2,4,5b3e4261-df1b-42c2-b517-cf676a46b949,
0.0,0,2017-03-07 04:35:02.259,36.344425,,서남서. 248.0,대체로 화창,0,0,AccuWeather,2017-03-07 04:35:02.266,2017-03-07 04:35:02.266,1,127.416145,36.0,36,UTC+0900,wakAfCXJCw,c34cb522-211e-493d-941a-83a03008b5f5,com.sec.android.app.shealth,mi/h,0,3.9,1,64bcb9ee-d3b3-4588-b1b4-7e6b4bf05484,
0.0,0,2017-01-03 01:55:02.190,36.349014,,남동. 135.0,화창,0,0,AccuWeather,2017-01-03 01:55:02.195,2017-01-03 01:55:02.195,1,127.40338,36.0,82,UTC+0900,wakAfCXJCw,ae58c5ea-a899-4163-bae9-c96c709e75b6,com.sec.android.app.shealth,mi/h,0,2.7,1,ca573e1c-460c-4de7-9888-82dbde968b08,
0.0,0,2017-04-18 07:55:02.823,36.335545,,서남서. 248.0,대체로 흐림,0,0,AccuWeather,2017-04-18 07:55:02.825,2017-04-18 07:55:02.825,1,127.43008,59.0,86,UTC+0900,wakAfCXJCw,993143a0-0704-4cdf-b693-fb8f32023891,com.sec.android.app.shealth,mi/h,0,6.4,20,7b7b373b-20a7-4dae-a216-6614bf77fe76,
0.0,0,2017-01-06 01:49:43.282,36.357704,,동북동. 68.0,화창,0,0,AccuWeather,2017-01-06 01:49:43.286,2017-01-06 01:49:43.286,1,127.400665,43.0,57,UTC+0900,wakAfCXJCw,8f9d1af6-56c8-4f4f-999d-2eb6603d0fbc,com.sec.android.app.shealth,mi/h,0,4.8,1,3ab1ea2d-8dc7-4825-aef1-0d835475ad24,
0.0,0,2017-01-06 01:27:22.578,36.349533,,동남동. 113.0,구름과 해,0,0,AccuWeather,2017-01-06 01:27:22.591,2017-01-06 01:27:22.591,1,127.40296,43.0,67,UTC+0900,wakAfCXJCw,47301e2c-a3e0-4903-ad89-f9e6c0200035,com.sec.android.app.shealth,mi/h,0,8.1,4,7be50115-7a81-430b-a548-834a524c4a6b,
0.0,0,2017-01-13 07:06:49.159,36.344425,,북북서. 338.0,일부 화창,0,0,AccuWeather,2017-01-13 07:06:49.171,2017-01-13 07:06:49.171,1,127.416145,31.0,76,UTC+0900,wakAfCXJCw,838e755b-ee80-420d-8ce5-664361410d33,com.sec.android.app.shealth,mi/h,0,5.8,4,d907fcb4-3e98-46ae-92ed-f8dcaa7ae185,
0.0,0,2017-04-22 08:35:06.369,36.353943,,북. 0.0,대체로 화창,0,0,AccuWeather,2017-04-22 08:35:06.370,2017-04-22 08:35:06.370,1,127.40087,69.0,24,UTC+0900,wakAfCXJCw,0000c3c5-e35d-4fdb-a408-93e1c503eb41,com.sec.android.app.shealth,mi/h,0,3.3,1,f13dead1-d5ff-47ac-b680-b662020e9e92,
0.0,0,2017-01-20 02:52:14.064,36.339634,,북서. 315.0,대체로 흐림,0,0,AccuWeather,2017-01-20 02:52:14.068,2017-01-20 02:52:14.068,1,127.41647,30.0,72,UTC+0900,wakAfCXJCw,bd6d5f4d-ee34-4515-85e9-1d3e43bdc9b2,com.sec.android.app.shealth,mi/h,0,18.2,20,b2bb4c2d-24bb-4f0b-bd9a-3ea859045096,
0.0,0,2017-04-27 01:53:51.675,36.35823,,북북서. 338.0,대체로 화창,0,0,AccuWeather,2017-04-27 01:53:51.678,2017-04-27 01:53:51.678,1,127.40012,60.0,30,UTC+0900,wakAfCXJCw,77af731b-99bd-4068-8d99-23cc5b272065,com.sec.android.app.shealth,mi/h,0,4.3,1,c2ca43de-876c-4a5f-87de-b126a3e90dc2,
0.0,0,2017-01-26 03:15:01.716,36.33735,,북북동. 23.0,구름과 해,0,0,AccuWeather,2017-01-26 03:15:01.728,2017-01-26 03:15:01.728,1,127.416145,35.0,52,UTC+0900,wakAfCXJCw,abcf0862-a751-49e9-8b05-e79034a4acb5,com.sec.android.app.shealth,mi/h,0,5.8,4,bbc4ecc5-df71-48b5-a528-e8b3f8d6347c,
