com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
3999,2334886,90,0,2021-07-31 15:51:13.268,2021-07-10 15:00:00.413,60,120000,42,3189.4055,138.68623,6470b8d8-3c65-44b1-b8df-bc6d0d3d7a14.extra_data.json,QyB8D3zs1J,22000,com.sec.android.app.shealth,2312886,13320000,6470b8d8-3c65-44b1-b8df-bc6d0d3d7a14,1625961600000,
1864,1219214,90,0,2021-08-13 06:43:04.216,2021-07-17 15:00:00.327,60,60000,22,1448.1191,65.41438,e2d29a10-8d7c-414d-b955-9084cf9e573c.extra_data.json,QyB8D3zs1J,4000,com.sec.android.app.shealth,1215214,10260000,e2d29a10-8d7c-414d-b955-9084cf9e573c,1626566400000,
3599,2214080,90,0,2021-07-31 15:51:14.383,2021-07-21 15:00:00.542,60,240000,40,2798.8174,125.150604,a075b5b0-f1e0-4c24-8ec8-703c1154e830.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,2214080,20339999,a075b5b0-f1e0-4c24-8ec8-703c1154e830,1626912000000,
2457,1507937,90,0,2021-07-31 15:51:14.610,2021-07-24 15:00:00.682,60,120000,27,1917.7158,85.28351,521d4cbd-ea7a-4d3c-96cd-507375ae7c27.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,1507937,13500000,521d4cbd-ea7a-4d3c-96cd-507375ae7c27,1627171200000,
2396,2373766,90,968000,2021-08-13 06:43:04.144,2021-07-16 15:00:00.543,60,968000,43,1666.796,148.94037,02cf1dd4-1e52-4d35-8549-412db31566b0.extra_data.json,QyB8D3zs1J,22286,com.sec.android.app.shealth,1383480,20340000,02cf1dd4-1e52-4d35-8549-412db31566b0,1626480000000,
1227,789024,90,0,2021-07-31 15:51:13.578,2021-07-13 15:00:00.503,60,60000,13,994.93933,42.184948,c379725c-d929-4f76-bc9c-f17b910c7bc9.extra_data.json,QyB8D3zs1J,14000,com.sec.android.app.shealth,775024,18299999,c379725c-d929-4f76-bc9c-f17b910c7bc9,1626220800000,
4077,2613599,90,0,2021-07-31 15:51:15.004,2021-07-30 15:00:01.234,60,60000,47,3180.8438,140.4715,8c4adc9b-9122-47f6-a6c2-94b3db39d5e5.extra_data.json,QyB8D3zs1J,1200,com.sec.android.app.shealth,2612399,15300000,8c4adc9b-9122-47f6-a6c2-94b3db39d5e5,1627689600000,
2515,1599953,90,0,2021-07-31 15:51:14.807,2021-07-27 15:30:41.402,60,120000,28,1925.0527,87.24902,7a9a08e4-2bae-49dc-b2fb-e41825415a4c.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,1599953,17820000,7a9a08e4-2bae-49dc-b2fb-e41825415a4c,1627430400000,
2567,1671678,90,0,2021-07-31 15:51:14.454,2021-07-22 15:00:01.023,60,60000,30,1996.9043,88.74341,784dc764-1ebb-4579-9a7e-bbfecca334ad.extra_data.json,QyB8D3zs1J,1600,com.sec.android.app.shealth,1670078,20639999,784dc764-1ebb-4579-9a7e-bbfecca334ad,1626998400000,
1848,1206704,90,0,2021-07-31 15:51:14.542,2021-07-23 15:00:00.828,60,60000,22,1448.6348,64.23065,6af96ebf-036f-4242-8d8b-ef3c9a6b233f.extra_data.json,QyB8D3zs1J,4800,com.sec.android.app.shealth,1201904,9720000,6af96ebf-036f-4242-8d8b-ef3c9a6b233f,1627084800000,
