com.samsung.health.sleep_stage,6200039,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-07-14 18:50:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 18:50:42.000,2021-07-14 18:53:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 18:53:42.000,9cdf3ce9-0bfa-8b54-45fd-d9e13080499e,
2021-07-14 19:04:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 19:04:42.000,2021-07-14 19:35:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 19:35:42.000,98100484-d6d5-66aa-9aca-de7303c93dce,
2021-07-14 17:08:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 17:08:42.000,2021-07-14 17:23:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 17:23:42.000,efec6ec7-79fb-d6ad-8628-cf27a705be16,
2021-07-14 20:07:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 20:07:42.000,2021-07-14 20:13:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 20:13:42.000,bf28d8f0-9d19-cafd-fe97-1177bfecb8fb,
2021-07-14 18:45:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 18:45:42.000,2021-07-14 18:48:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 18:48:42.000,ab599ee8-bc38-45db-db74-e6096e97c375,
2021-07-14 03:29:11.000,00000000-0000-0000-0000-0000629194b4,,2021-07-14 03:29:11.000,2021-07-14 03:30:11.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 03:30:11.000,84b93f95-404c-041e-606a-c79da91f4cb0,
2021-07-14 20:24:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 20:24:42.000,2021-07-14 20:42:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 20:42:42.000,8f5325d5-282a-cc6c-723c-457d9a27f333,
2021-07-14 18:59:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 18:59:42.000,2021-07-14 19:00:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 19:00:42.000,7a15472d-45ff-2704-87fd-a2fc701bc082,
2021-07-14 21:06:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:06:42.000,2021-07-14 21:15:42.000,40004,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:15:42.000,91cf0002-26b5-c709-1bd4-ed310a76d8aa,
2021-07-14 04:41:11.000,00000000-0000-0000-0000-0000629194b4,,2021-07-14 04:41:11.000,2021-07-14 04:46:11.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 04:46:11.000,e9f150ae-d6d7-b869-97b4-17c77d487998,
2021-07-14 19:41:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 19:41:42.000,2021-07-14 20:06:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 20:06:42.000,38b73359-4ff9-f1ce-6a4c-d3e0ff7ded9b,
2021-07-14 21:23:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:23:42.000,2021-07-14 21:34:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:34:42.000,99ae1224-f384-ed02-ce81-862d746ca319,
2021-07-14 21:49:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:49:42.000,2021-07-14 22:12:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:12:42.000,773b0866-419c-fde9-161f-705b7c429e5d,
2021-07-14 22:28:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 22:28:42.000,2021-07-14 22:37:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:37:42.000,ec0ab14c-9b76-a43b-c7dd-af41755aad57,
2021-07-14 15:47:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 15:47:42.000,2021-07-14 15:48:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 15:48:42.000,21c14813-7653-3d6a-81bc-42a0a6a87834,
2021-07-14 20:21:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 20:21:42.000,2021-07-14 20:23:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 20:23:42.000,9326e371-fee4-0d12-040d-a3a11b7259b5,
2021-07-14 22:47:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 22:47:42.000,2021-07-14 22:48:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:48:42.000,8859a79c-c6ad-fe7d-441b-35e42368a9b3,
2021-07-15 15:02:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 15:02:44.000,2021-07-15 15:05:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 15:05:44.000,82b6ccc2-fa14-57b5-396e-d52023dd5262,
2021-07-14 20:58:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 20:58:42.000,2021-07-14 21:05:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:05:42.000,574d8265-752c-877b-a511-9b2bad1cf285,
2021-07-15 15:18:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 15:18:44.000,2021-07-15 15:19:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 15:19:44.000,3d149de8-c565-e555-31a1-f8b62f8579d0,
