,mental_recovery,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,start_date,start_time
170,95.0,85.0,27.0,6.0,87.89893,63.0,751.0,2021-11-16 ,11:21:00.000

171,61.0,10.0,41.0,1.0,78.50468,41.0,103.0,2021-11-18 ,11:03:00.000
172,59.0,10.0,53.0,1.0,75.229355,35.0,104.0,2021-11-18 ,13:57:00.000
173,70.0,60.0,9.0,0.0,91.903725,59.0,442.0,2021-11-18 ,16:25:00.000

174,66.0,11.0,70.0,2.0,72.32143,40.0,110.0,2021-11-19 ,11:32:00.000
175,87.0,75.0,15.0,4.0,90.45045,82.0,538.0,2021-11-19 ,14:10:00.000

176,79.0,17.0,2.0,2.0,97.126434,54.0,173.0,2021-11-20 ,14:32:00.000
177,74.0,57.0,23.0,2.0,85.71429,69.0,394.0,2021-11-20 ,17:28:00.000

178,73.0,8.0,55.0,1.0,74.71265,43.0,84.0,2021-11-21 ,07:52:00.000

179,75.0,69.0,0.0,1.0,100.0,70.0,491.0,2021-11-23 ,04:03:00.000
180,,,,,98.4127,,,2021-11-23 ,12:19:00.000

181,83.0,69.0,13.0,3.0,92.53438,88.0,489.0,2021-11-24 ,13:56:00.000
182,70.0,13.0,45.0,0.0,68.83117,41.0,74.0,2021-11-24 ,22:39:00.000

183,73.0,8.0,10.0,1.0,91.358025,51.0,79.0,2021-11-25 ,11:44:00.000
184,70.0,63.0,10.0,0.0,90.59675,54.0,551.0,2021-11-25 ,13:17:00.000

185,88.0,37.0,23.0,4.0,92.24138,64.0,337.0,2021-11-26 ,13:11:00.000

186,56.0,52.0,20.0,3.0,86.40777,71.0,199.0,2021-11-28 ,08:47:00.000
187,87.0,73.0,20.0,4.0,89.75903,62.0,664.0,2021-11-28 ,12:34:00.000

188,75.0,6.0,22.0,1.0,86.36364,45.0,64.0,2021-11-29 ,02:48:00.000

